"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_veh_refuel_b","gamma_veh_range_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-4.51398009666764,-3.61822423913736,-1.72959448476238,0.399573532228996,-0.240264715910061,-0.0652344861663431,-0.445042074559874,-1.14489231255476,-7.28773768846128,-0.163021903593676,0.634800874069646,0.489472943636867,-0.218194202213373,-0.0961012022957237,-1.27351819155874,-1.32277937724986,-8.86276588375265,-5.43575730360653,-0.029141247246328,1.0071972888171,-0.326134101696728,-0.120087207513395,-1.04009911949336,-1.37226479612312,-0.233857331053726,1.09758649198645,-0.482011760415515,0.0537408345816065,0.320928277176792,0.275430352264818,-0.588040509506169,0.386389583863562,0.0390235702560141,0.058163520942459,-0.220662319374297,0.172678609464437,0.0292896670553026,0.0214012187655179,0.0706747230780588,0.208921060589645,-0.932398315081053,0.378682613229367,0.018518165213382,0.173616999746115,-3602.29545113577
-4.52516229338635,-3.61282510016715,-1.73678042272409,0.387873421707721,-0.238423846312337,-0.0637142218685016,-0.442645013557347,-1.15339888243514,-7.28241900930044,-0.164380133922165,0.630994986642127,0.485128084841424,-0.216545249512878,-0.0962544026958431,-1.26978250630834,-1.32234027571811,-8.89601229137473,-5.56217744990833,-0.0206619589076575,1.06498311955639,-0.331433741438937,-0.121490481839088,-1.05142645759,-1.37154495185392,-0.2493428491202,1.09919247396854,-0.481818974950078,0.05381783978563,0.311379833071438,0.278123764341412,-0.574871170378414,0.385257123880325,0.0397417472530433,0.0597542912810554,-0.240233525761425,0.175625309532775,0.0269437413526624,0.018997965185474,0.0711585846546569,0.205933275745561,-0.931497708712195,0.375507044681266,0.0191187102791119,0.175882696119499,-3602.2524975358
-4.52951234462318,-3.61163152468355,-1.74266303655863,0.379990674155876,-0.236775401633856,-0.062619856036068,-0.438723682076173,-1.1588869382567,-7.27794278279827,-0.165369527777522,0.625430059021394,0.480875852373221,-0.21519286451991,-0.0963799821289603,-1.26536818856628,-1.32184314052137,-8.91325321063774,-5.65466663630944,-0.00929528557964677,1.10537565318429,-0.335738235846495,-0.122568802369128,-1.0612472375313,-1.36823688214925,-0.256993782192904,1.10092074777967,-0.482806576671649,0.0535669585184189,0.301500726637808,0.280012864139883,-0.561202431580131,0.383020986460825,0.0401620026543323,0.0595737934941887,-0.255439829950585,0.17762515150655,0.024828678839058,0.0159013091200868,0.0715939864946711,0.198238762461122,-0.929432723954828,0.371396624018671,0.0201684941722207,0.176881900321362,-3602.22233547253
-4.52946319328622,-3.61336171833538,-1.74701072583576,0.375438986709233,-0.235526399011597,-0.0620448401861343,-0.434332383536307,-1.16148650277165,-7.27515746380655,-0.166057269600614,0.61922778840004,0.477230921027406,-0.214172881085553,-0.0964695993777274,-1.26083838765288,-1.32166930509492,-8.91774975312748,-5.71322560949854,0.003116506390943,1.12930228784894,-0.338904250791901,-0.123272721071572,-1.06974263971101,-1.36357748402102,-0.258857227933547,1.10176031541474,-0.484630225854704,0.0532295899019537,0.292408570526632,0.28184949880616,-0.549210115574131,0.380740952196167,0.0403757714642282,0.0581829867859359,-0.266316631350479,0.178807987928925,0.0233007909839176,0.0118285062106538,0.0719984351660394,0.187987147145204,-0.92725558603481,0.368445530767473,0.0212375504369691,0.17719418972061,-3602.2002751334
-4.52556142185585,-3.61712094514028,-1.74972874003864,0.373974633636812,-0.234657229695488,-0.0618928813622912,-0.429879497822701,-1.16148785146817,-7.27427671984718,-0.166703866902552,0.613124441298191,0.474505377497043,-0.213512943804234,-0.0965475834365949,-1.25667473102696,-1.3217386529916,-8.9143111515601,-5.74173698717822,0.0149825753566457,1.13908589143788,-0.341000214632614,-0.123592685008678,-1.07718658262129,-1.35887596048565,-0.254953303642477,1.10183222776799,-0.486940451984303,0.0528627581064643,0.285549952883932,0.283046327202689,-0.540867984623804,0.378314967621452,0.0403608571371479,0.056020545291494,-0.273709702046276,0.179303619852926,0.0223891058353688,0.00758893952439628,0.072358730784649,0.177386345700716,-0.925463856228446,0.366330104667057,0.0221744264202549,0.177187257301161,-3602.18379681796
-4.51972132446934,-3.621419473022,-1.75095798433524,0.374621942159542,-0.234199273879024,-0.0621129456215461,-0.426053254347781,-1.15950963051758,-7.27512325575373,-0.167312640511517,0.607948606005745,0.472838145805479,-0.213196834213744,-0.0966057980334251,-1.25330638755577,-1.32205658437103,-8.90689496365279,-5.74624736528317,0.0248449878950225,1.13803549303009,-0.342085867432065,-0.123585362531789,-1.08341279689095,-1.35507648364558,-0.24741431966912,1.10103428640828,-0.489397273673604,0.0525708116977464,0.281184573719398,0.28395805317327,-0.536844252908638,0.376292281002714,0.0402111063153944,0.053597706794563,-0.277930147413242,0.179266898857118,0.0220862078365073,0.00324158409271725,0.0726555925405108,0.168210777561275,-0.924551811393338,0.36550355351328,0.0228136026010135,0.177148113858294,-3602.17177102343
-4.513084749177,-3.62540249965978,-1.75091055329755,0.37668873952498,-0.23408946648646,-0.062555064555769,-0.423113772741778,-1.1562990693299,-7.27720414728824,-0.167942874800209,0.604177933987502,0.472184230963877,-0.213173878205965,-0.0966514328765541,-1.25098169699149,-1.32247502087948,-8.89944596552533,-5.73509921185127,0.0317531685857326,1.13029643984836,-0.342369351053495,-0.123344071739679,-1.0884055576639,-1.35283167677232,-0.237923448060252,1.09965939881807,-0.491571991596136,0.0523877318984913,0.279533459192172,0.284407119377803,-0.537020860905265,0.374687809723985,0.039967438928394,0.0513527824667336,-0.27993173314276,0.178899978349981,0.022319484764597,-0.000505068004203114,0.0728813310223936,0.161562756991946,-0.924586911034186,0.365598758782836,0.0231229593284266,0.177243160039501,-3602.16333465565
-4.50729215920565,-3.62809116339072,-1.7500308337884,0.379110568510747,-0.23423885383899,-0.0630859316267845,-0.421335016597045,-1.15280970917783,-7.27984214106321,-0.168529825843016,0.602115322680323,0.472345705532467,-0.21335370325885,-0.0966805193924361,-1.24981371298937,-1.32289596169831,-8.8946004519641,-5.71700664982086,0.0353022165108735,1.12014185520355,-0.342099986384251,-0.122997045975029,-1.09192606651982,-1.3523314256137,-0.228956144764943,1.09800774422121,-0.493170302272441,0.0523361114988429,0.279961928545856,0.284633841286489,-0.54029062187645,0.373713812230171,0.0397239309252869,0.0496715776536403,-0.280302753115398,0.178371745507723,0.0228966037927992,-0.0034044904491766,0.0730249790225029,0.158065140787858,-0.925484007821883,0.366351016402487,0.0231075475942569,0.177524428777233,-3602.15781153366
-4.50308010648567,-3.62927323277355,-1.74875340342698,0.381225246077619,-0.23451833411332,-0.0635553473363627,-0.420603702461107,-1.14980869479469,-7.28234531461203,-0.169006499391402,0.601615912186976,0.472997740876926,-0.213629376242717,-0.0966973025586966,-1.24966178291036,-1.32320022802609,-8.8934649409218,-5.69917387830759,0.0358707494598442,1.11095852041092,-0.341565152144344,-0.122661811888279,-1.09393605744193,-1.35329552827645,-0.222187152384204,1.09651393357983,-0.493996942993119,0.0523857865746161,0.281751830053179,0.284604954200297,-0.545006897770074,0.373236064800307,0.0395255540212949,0.0487375401051144,-0.279775945544309,0.177859414039924,0.0236136817123378,-0.00505729861683311,0.0730900184155908,0.157367084950406,-0.926845111482152,0.367241813801055,0.0228749310364362,0.177922764550198,-3602.15444229331
-4.50091880243139,-3.6290462625539,-1.74755752259221,0.382486848797515,-0.234803608242929,-0.0638779467733455,-0.420701126194558,-1.14782852944811,-7.28416881708044,-0.169290855315081,0.602233913830839,0.473775583163231,-0.21389484525361,-0.096701972782319,-1.25019183730103,-1.32334748535935,-8.89548947362247,-5.68641076617402,0.0344714841434044,1.10486170990485,-0.341020000555384,-0.122426622556046,-1.09456862578505,-1.35506357315166,-0.218614668158195,1.09545494117007,-0.494144174541778,0.0524911500205746,0.283838086741339,0.284504373579415,-0.549432401977235,0.373182191298532,0.0394162576636119,0.0485114155674424,-0.278815413932339,0.177463781193336,0.0242281868614791,-0.00563383080502768,0.0730908336206427,0.158600728631218,-0.928241702414868,0.367935583230315,0.0225498712421208,0.178317384651153,-3602.15256208854
