"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_risk_taking_b","gamma_evb_environment_positive_b","gamma_evb_function_negative_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_risk_taking_c","gamma_evb_environment_positive_c","gamma_evb_function_negative_c","logLike"
-4.46431366729141,-3.72092000070834,-1.61927605669563,0.396318394756679,-0.307800970186842,-0.106304926058911,-0.651401503063249,-0.776983294339388,-6.57812704137266,0.0580552622143802,0.857827619949125,0.349878898855117,-0.214949689620734,-0.103058182315395,-0.98997513166831,-1.17491552151802,-8.68037453735325,-4.65391776406993,-0.149758726796915,0.491301650953349,-0.34882209673399,-0.124418107192385,-0.659363116926797,-1.18401188889301,-1.48506546299284,1.13609894393967,-0.256011321838057,0.0380184269485014,0.73688857705951,-0.237011592332021,0.24918089095442,0.228891567783757,-0.0187498020711894,-0.272486958848712,0.0769502309983086,0.060210167794971,0.0387348825438468,0.495147991190244,-0.576108134725236,0.112953424694419,0.187650219943651,-0.084338518116268,-8177.18925388176
-4.47343501192531,-3.7354843873487,-1.60475152272219,0.412590624875274,-0.307555787522646,-0.105924912739627,-0.655248430566799,-0.785469579297936,-6.59900613217515,0.0579203321149307,0.858445296905908,0.349179472222349,-0.215241095150338,-0.103033477926682,-0.991058951540336,-1.17964473978312,-8.65053511653387,-4.62888207718649,-0.14987149443211,0.485989953568781,-0.348441706371117,-0.124382720430422,-0.65292569025829,-1.17897857708154,-1.48562158619678,1.13481598374934,-0.257082050617099,0.0387357432280274,0.737077470929757,-0.238556085871495,0.249713533482762,0.229000348412656,-0.0189969716841046,-0.260302431041545,0.0738874826032183,0.0574393101096788,0.0393009545750907,0.496532309150213,-0.577268409128284,0.113946578558028,0.186261648050318,-0.086937368089015,-8177.11738251608
-4.47748726011187,-3.74941311130336,-1.595681097827,0.422333447094879,-0.307263979726979,-0.105726193961006,-0.660028430884028,-0.78778266164279,-6.60483574094662,0.061931664439731,0.859362220388093,0.34808338086482,-0.215566060467289,-0.103062344536962,-0.991444269541181,-1.1804978320015,-8.63194113017994,-4.59560134458277,-0.144906182942654,0.478282828869149,-0.348220579096454,-0.124117544294743,-0.647074604401133,-1.17667046853534,-1.49768348210475,1.13484605483792,-0.257769608931665,0.0390403470057103,0.738616408795125,-0.237192340422431,0.251076534397279,0.230415341801943,-0.0191622109858959,-0.255516810951095,0.0726607708457293,0.0567971470652291,0.0394391170818183,0.498233476265041,-0.575631041731184,0.115102161877579,0.186752383837028,-0.0900897057143937,-8177.08401839448
-4.4777171285778,-3.75904093604541,-1.58988957462297,0.426999741134932,-0.307021465487112,-0.105668074074674,-0.663993878991226,-0.786882162966774,-6.60280416707821,0.067105897269882,0.860209639632773,0.34699147740125,-0.215828955921292,-0.1031125048534,-0.991491950645835,-1.17926653868564,-8.6229610619859,-4.56620685350528,-0.139216884510388,0.471246313435135,-0.348089221768607,-0.123789068955898,-0.642906548938682,-1.17616042035107,-1.5128331417846,1.13533023273343,-0.258098075674727,0.0390860294220052,0.740444358666273,-0.234969947547188,0.252566223674363,0.232145122657198,-0.0193608958099331,-0.255188074668509,0.0721230753463355,0.0573193980963217,0.0393619844442161,0.499550835844426,-0.573271199153553,0.115999733390103,0.187925823241195,-0.0927666360866759,-8177.06750127483
-4.47565513637336,-3.76144312959812,-1.58718159062308,0.427248217353093,-0.306924000620204,-0.105731342815014,-0.665685553094794,-0.784961479262187,-6.59827559578342,0.0706720670423654,0.860660414873492,0.346343678841429,-0.215959418583957,-0.103153594975908,-0.991411392048883,-1.17749278626487,-8.62319433493689,-4.55175273154268,-0.136156170342231,0.467428725034998,-0.348058217736065,-0.123562606528181,-0.641443509927093,-1.17679372450721,-1.52231789098252,1.13559786886025,-0.258143380835476,0.0389922612774556,0.741787953009079,-0.233617960705734,0.253406590026291,0.233118353535035,-0.0194438643860481,-0.256519199124021,0.0719569865080281,0.0581257594406345,0.0391977101904002,0.500291532195225,-0.571798306620088,0.116273401178202,0.188769316346683,-0.093930142624758,-8177.06121951592
-4.47297078372881,-3.75989898375857,-1.58569031112215,0.425942428252813,-0.306921075013649,-0.1058279027293,-0.66588677943081,-0.783332012175372,-6.59451033107741,0.0727125641487358,0.860874239790973,0.346029521147936,-0.216007099991506,-0.103182476499473,-0.991396436041316,-1.17602330860638,-8.62654905805049,-4.54669351247258,-0.135359688992968,0.465813708295336,-0.348020445961083,-0.123427690394841,-0.641432138173566,-1.17765941176953,-1.52705791651254,1.13566213492911,-0.2581051731809,0.038890642595443,0.74242631033211,-0.233158651059565,0.253775856365977,0.233497699809888,-0.019467149577222,-0.257772671668769,0.0718053208167801,0.0587276927558828,0.0390581360526915,0.500485630994259,-0.571221143376936,0.116187612186975,0.189163906992623,-0.0941286387104421,-8177.05865639927
-4.47089225365939,-3.75705144495767,-1.58476118074051,0.424676656298372,-0.306961582184847,-0.105912312113905,-0.665369997010751,-0.782517551362077,-6.59283893148679,0.0734124480394352,0.860951883944923,0.345954267038707,-0.216016726326779,-0.103196147045125,-0.991470306296597,-1.17525429770271,-8.6297961324776,-4.54696968738094,-0.136024315277384,0.465507161671326,-0.347974249455347,-0.123376518530338,-0.64193660520276,-1.17828134457626,-1.52795454124866,1.13555527161488,-0.258085027911448,0.0388404412608818,0.742566541459953,-0.233407034360149,0.253809210371961,0.233431584483517,-0.0194137934356813,-0.258124749056547,0.0716323226451784,0.0589364236618615,0.0389782198761061,0.50050097265161,-0.571359119507796,0.115961882979072,0.189154909799321,-0.0938103635443479,-8177.05770085592
-4.46952685926274,-3.75450877937623,-1.58402789385042,0.423929770626175,-0.307008623490632,-0.105970177540051,-0.664736503481635,-0.782270090880593,-6.59260269081742,0.0734979234340094,0.861004452781272,0.345975097215502,-0.216017867063198,-0.103201426734357,-0.991608632444188,-1.17497785448451,-8.6316882033792,-4.548494110218,-0.137136184528023,0.465622516031612,-0.34790686991876,-0.123363165356561,-0.642388357571726,-1.17861434661618,-1.52747435207036,1.13542164871773,-0.258087730517175,0.0388337398437473,0.74242489146568,-0.233857900856525,0.253735654577509,0.233252396020268,-0.0193488028168743,-0.257931318320329,0.0714391742936774,0.0589046122498969,0.0389485866556459,0.500436096203028,-0.57175017557223,0.115756717852963,0.188992660465579,-0.0934097766062614,-8177.05731482271
-4.46893519036555,-3.75306387701323,-1.5835063875617,0.423742186782169,-0.307041243572068,-0.106000352386588,-0.664329959102085,-0.782342271094205,-6.59311190756754,0.0733502910874085,0.861057581992317,0.346018079646739,-0.216023733677477,-0.103201526203677,-0.991744514043075,-1.17500478692221,-8.63220440992274,-4.54950163440826,-0.138037963931511,0.465716626980016,-0.347847805335114,-0.123366260362576,-0.6425604464535,-1.17870431558881,-1.52670611644635,1.13531648628988,-0.258107220178415,0.0388510258152798,0.742261400755722,-0.234241817184538,0.253656466868416,0.233094186990774,-0.0192868756384782,-0.257470783968385,0.0712914124050767,0.0587690050695769,0.038945448495486,0.500442581153258,-0.57211606793959,0.115643093598578,0.188822119701724,-0.093133564710687,-8177.05717584162
-4.46879270306897,-3.7525591059124,-1.58318663048524,0.423846864559938,-0.3070587931956,-0.106011169663233,-0.66416659620916,-0.782486584090568,-6.59370920127027,0.0732132309185081,0.861115604852615,0.346049205820465,-0.216032816714658,-0.10320031917143,-0.991850380869958,-1.17512441769249,-8.63190987083546,-4.54962196598296,-0.138557682999188,0.465689073906581,-0.34780073400097,-0.123369613505006,-0.642519595118336,-1.17867648991196,-1.52628640854375,1.13526907679527,-0.258123695733038,0.0388716429702919,0.742131400046041,-0.234437161580449,0.253616689101929,0.233025803738182,-0.0192514578589733,-0.2570794713756,0.0711992844717815,0.0586429505305092,0.0389527239653,0.500471675484477,-0.572330537548489,0.115610438450882,0.188720100254022,-0.0930164124471805,-8177.05712757278
