"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","logLike"
-2.81320897824973,-2.13208400182597,-1.33663719433959,-0.0253022364061562,-0.147412236625278,-0.00850931411842376,-0.517101779045102,-0.688221310162265,-3.47034856488111,0.043473371182943,0.0801471987662211,0.0113250648037996,-0.0287088266984469,-0.0475584348378932,-0.182023963384423,-0.33868640173012,-10.1784504240857,-6.42767865194028,-0.44271428471279,1.18561289868308,-0.299066019345303,-0.129099919145586,-1.79260801570354,-1.62713554075394,0.606001375291498,0.780056041333446,-0.273686689377816,0.0276512619250713,0.145455985218008,0.594692177217272,-0.440572782495399,0.386516707176765,-0.0894408481461893,0.155235156999916,0.0824039855964074,0.441323802386614,0.061191380535305,-0.336941041473824,-0.92484484608023,0.566152384666004,-3529.9900417863
-2.79353478010672,-2.03784778955595,-1.27170782218879,-0.0665618662140013,-0.154753570302149,-0.0119498151624083,-0.508315019428788,-0.665597767118311,-3.59242654085455,0.025263385104738,0.0688607570445951,0.0195630890505047,-0.0291503974148649,-0.0480011317475212,-0.194334556157318,-0.34675569822924,-10.110124068425,-6.36984056949375,-0.47501562952788,1.14252121982493,-0.29210180474991,-0.124649521622463,-1.74291549608539,-1.62645791146297,0.620661249534761,0.788897755731997,-0.283606788415664,0.0283435092048235,0.0836884975767007,0.605736828966206,-0.442692276776761,0.32228110555177,-0.0816337642229911,0.142752820443747,0.0828927485311346,0.421987441103437,0.0608097102023805,-0.317161165912209,-0.940199052090511,0.501663709937502,-3529.72841649536
-2.81374660553621,-2.03006803538364,-1.2686649939751,-0.077111045545548,-0.157726964433802,-0.0127696746592183,-0.509302385627794,-0.666915030589349,-3.60843936104732,0.0223301106761015,0.0674263661424548,0.0199075543301142,-0.0294023434695947,-0.0481028980305576,-0.19789750605142,-0.348769253913217,-10.0945478956625,-6.37418582515559,-0.486664301630603,1.13362354666383,-0.288604085600281,-0.123754624103493,-1.71952309896444,-1.62866933238586,0.624188042640207,0.791094284386192,-0.283064295807233,0.0285755043642662,0.0673169889471603,0.610500833533469,-0.430153797770947,0.31878881195992,-0.079477877143287,0.143889179303056,0.0848071527526301,0.411172284031554,0.0609351661498972,-0.300200196194454,-0.940578961361851,0.492233005164195,-3529.66839799787
-2.8633614117089,-2.03700399372144,-1.27447877874485,-0.0849799142595888,-0.162001752252039,-0.013800643468195,-0.514945059405878,-0.675599087092435,-3.61700621018998,0.0193999645299194,0.066951425485593,0.0191031885029641,-0.0300926635101113,-0.0482052900886429,-0.203056306234793,-0.350743527512255,-10.0925475989906,-6.39689408339706,-0.502658967721329,1.1250365748081,-0.282651999413076,-0.122966215816194,-1.685628168807,-1.6363234132175,0.630069417366755,0.795864779967303,-0.278376288057615,0.0287354169157891,0.0525506520733154,0.618993015539573,-0.41242159715662,0.315801212572976,-0.079612684120336,0.144885721672778,0.0941059146218089,0.400836738352741,0.0608697056655526,-0.269396578926697,-0.942851585233706,0.480006577150937,-3529.61256726496
-2.89067851731836,-2.05185143286682,-1.28135749032643,-0.0823301047852743,-0.16333602303682,-0.013781383622049,-0.519964303556774,-0.6829161820387,-3.61031742693907,0.0193102131678284,0.0680274600959692,0.0179623801662859,-0.0305535237499308,-0.0482722214638238,-0.205219560706529,-0.350860132462872,-10.1104249669445,-6.41526855603425,-0.509556726925614,1.12079434390736,-0.280118019550447,-0.123092068925186,-1.67168962911824,-1.64326153536981,0.629508375209109,0.797134290388352,-0.274892269107879,0.0287818917875241,0.0542990655865585,0.621860456680724,-0.404541397330879,0.320822393787996,-0.0838531246255311,0.146569659632304,0.0995049369695098,0.400700701673605,0.0611086078448278,-0.259428584752,-0.944442112187975,0.480277544379635,-3529.59279621727
-2.92644653452184,-2.07590638259372,-1.29034813701314,-0.0751751438769545,-0.164516412103011,-0.0134876219683927,-0.52853754792569,-0.693449631178812,-3.59716280622569,0.0197711523592206,0.0701950872826594,0.0162443910756913,-0.0312734862590025,-0.0483722565443463,-0.207809609473018,-0.350528737081646,-10.1493447619587,-6.44351629919531,-0.517095746208879,1.11607167546992,-0.276924641171401,-0.123557837829433,-1.65561428814335,-1.65522256397038,0.62744797311344,0.797882251488691,-0.27024252431244,0.0287201426238124,0.0605688164105579,0.624522799269462,-0.397034519910252,0.329880617544303,-0.0928605122003782,0.146719841026446,0.108247069373179,0.402856273644912,0.0612995869833812,-0.247085381730666,-0.947851003743703,0.484685965278517,-3529.5746538441
-2.9426945084994,-2.09116120885056,-1.29349948417673,-0.0684630139060913,-0.164618887291303,-0.0130734538047225,-0.534508421211725,-0.69893758232864,-3.5882144974602,0.0202372038509407,0.0718577664860736,0.0153929089534957,-0.0317031728012902,-0.0484504342361877,-0.209044567663316,-0.350097955290349,-10.1830308077318,-6.45977658695994,-0.521067362765206,1.1120160081306,-0.275577305854029,-0.124030425329372,-1.64827213452098,-1.6638675154082,0.624173937756335,0.797701198403824,-0.267701717287171,0.0286930344565191,0.0677085676820731,0.624198747657874,-0.394905414959802,0.334883288888668,-0.100773018646613,0.146537006456022,0.112921263938346,0.406310696660588,0.0615826663787406,-0.24488921150686,-0.950749745365961,0.48752794501056,-3529.56580646936
-2.95504978411705,-2.10592601814642,-1.29399112480808,-0.0607535760656341,-0.1643434085777,-0.0125303382097175,-0.541423927735329,-0.703365935401122,-3.57908796304663,0.0208333634619234,0.0738127818119977,0.0147017326641085,-0.0321438453134248,-0.0485353634779897,-0.210121931739766,-0.349533852990973,-10.2269332075344,-6.47755205300663,-0.524248406735958,1.10824467973424,-0.274476435345175,-0.124680274813035,-1.64217132746277,-1.67423223618905,0.619561697712422,0.796717777935144,-0.265800139895456,0.0286048022308015,0.0754370643458889,0.622937685014686,-0.394587212661438,0.339987286353737,-0.111187442359529,0.144910721718636,0.117808085458857,0.409850332127505,0.0618164586947028,-0.243896947344088,-0.954354356745756,0.491494175477249,-3529.55823451965
-2.956777817099,-2.11209977079343,-1.29143061797257,-0.0561838701795381,-0.163848356243899,-0.0121425842164114,-0.545564621597933,-0.704239210223871,-3.57512840033677,0.0210855574895249,0.0749631021366747,0.0146458118466319,-0.0323442480379898,-0.0485863356131127,-0.210502873652984,-0.349167108324364,-10.257107560652,-6.48697861860917,-0.525511318143012,1.10612864082733,-0.274288538251112,-0.125144614018137,-1.6400333998653,-1.68068752344254,0.615797655405869,0.795867994739077,-0.265322303879408,0.0285754491586684,0.0802312114739646,0.620981781163364,-0.396027206066721,0.340852295449358,-0.118532008853292,0.143679088415291,0.119825111813653,0.412135022599375,0.0620456794296478,-0.246443369553983,-0.956745977891909,0.492106664895938,-3529.55388760046
-2.9535535844211,-2.11414741686121,-1.28647961869143,-0.0531873129834493,-0.163246363736242,-0.0118182182567937,-0.549037757663121,-0.703158053996762,-3.57364946925883,0.0211779888207419,0.0758521835535654,0.0149199330956919,-0.0324483122256578,-0.0486203158853625,-0.21063248600953,-0.348890463430963,-10.2864737700742,-6.4956179077663,-0.525735548691729,1.105643838377,-0.27448037479552,-0.125626554638525,-1.63941677912815,-1.6864566577085,0.611964373518723,0.794725578250198,-0.265818220137681,0.0285328418220011,0.0829194079658549,0.618873009905924,-0.3983710486287,0.340057683845703,-0.125766198572476,0.141887477068428,0.120932478038037,0.413036587130439,0.0622098208050317,-0.249554680509092,-0.958833178875778,0.491724038230304,-3529.55039809805
