"asc_1","beta_tt_a","beta_tt_b","beta_tc_a","beta_tc_b","beta_hw_a","beta_hw_b","beta_ch_a","beta_ch_b","delta_a","gamma_commute_a","gamma_car_av_a","logLike"
-0.0357666331496654,-0.207921070226156,-0.0369629371512379,-0.769071464986764,-0.0494284067372841,-0.0548840006918755,-0.0340504105262352,-2.67357900377717,-0.603168389774223,0.220372044409538,0.426409020547906,-0.588927039446924,-1559.0275260583
-0.0358827107905907,-0.208171572489641,-0.0372036183353793,-0.771831588109863,-0.0498539009111551,-0.0548177928367266,-0.0341193705130081,-2.66798643055524,-0.605139769854611,0.216557631079432,0.432352394950059,-0.588592504348941,-1559.01992624409
-0.0355262600922531,-0.208692897438503,-0.0372690301761198,-0.774098792130039,-0.0499429525236646,-0.0547476916192602,-0.0341718383642428,-2.66627594122657,-0.607155475153058,0.21303458318719,0.435868577393828,-0.588590445646345,-1559.01690177112
-0.0350594108132878,-0.209188529231418,-0.0372607987454771,-0.775569889449252,-0.0499018578063078,-0.0546926681662295,-0.0342117099990478,-2.66681551897501,-0.608716811279857,0.210494590992614,0.437002165734996,-0.588648294859935,-1559.01562761385
-0.0347453924452573,-0.209460440247446,-0.0372369225210836,-0.776072255946132,-0.0498492553061685,-0.0546660145319369,-0.0342351805018189,-2.66818955942857,-0.609457160169209,0.209398564781302,0.436395367879497,-0.588620498288482,-1559.01517617088
-0.0345846133446869,-0.209570676389927,-0.0372233776397905,-0.776086042275504,-0.0498283126151892,-0.0546564991905658,-0.0342497021746185,-2.66947502300978,-0.609704990278528,0.209107348300098,0.435232288061249,-0.588503690929802,-1559.01499748887
-0.034552935933004,-0.20957636497822,-0.0372244752893998,-0.775925273380567,-0.0498403751057388,-0.0546572096554642,-0.0342570088921899,-2.67020808072004,-0.609674622681097,0.209212811816842,0.434289149138015,-0.588361821298305,-1559.01493656305
-0.0345776866611011,-0.20954996645664,-0.0372324516729966,-0.775788804333977,-0.0498649372122105,-0.0546609207625087,-0.0342602516895111,-2.67048518797505,-0.609574940938155,0.209381436938469,0.433771012655922,-0.588247003588071,-1559.01491714596
-0.0346077302062563,-0.20953033760194,-0.0372395646194597,-0.775739391740254,-0.0498838713902039,-0.0546637102023564,-0.034261166520592,-2.67049693297687,-0.609509679784147,0.20946970162718,0.433634972592655,-0.588187609276446,-1559.01491246201
-0.0346229522573789,-0.209524700693036,-0.037243015965228,-0.77574188251479,-0.04989245757721,-0.0546648510401208,-0.0342612607191378,-2.670450168057,-0.609489651695031,0.209484992963294,0.433656503849351,-0.588167620380891,-1559.01491160961
-0.0346261378401474,-0.209525850377839,-0.0372437823747868,-0.775753582636153,-0.0498942881884631,-0.0546650669957918,-0.0342612179102959,-2.67042820446282,-0.609490279013769,0.209475774551192,0.433689239065783,-0.588164193624762,-1559.014911513
