"b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","delta_c","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-0.0830131578179407,0.71822812749689,-0.228027151202909,-0.276657929708447,-0.362975455817708,-0.0804961992978245,-0.057121456823839,0.878462223300589,-0.218841366603322,-0.0547038729635792,-0.137414493191109,0.117236358186632,-0.240263922779437,0.597727334461253,-0.442726066359936,-1.2723195510332,-0.545624847547358,-0.130220326030104,-1.77672430401189,-3.99477501877566,6.60261025327907,-3.18384450006018,5.19769646894578,-2.62465501672731,-2696.11302692891
-0.0710138887769688,0.742456515829792,-0.225417429876852,-0.329366275509558,-0.413290564156723,-0.124650685939981,-0.0738112747240519,0.893198854974459,-0.214595624079581,-0.0559326113850916,-0.143510252932504,0.122736751965228,-0.193392632056061,0.546848951305206,-0.30933838386313,-0.0940398319176443,-0.372426627954811,-0.186406249943206,-0.3686841604573,-2.79491832540668,5.93192176661951,-2.96171137541828,5.34810417581099,-2.68462548462022,-2681.03841494613
-0.0485851799239339,0.761592700345025,-0.230570227072152,-0.392818001063197,-0.504149025427674,-0.175048311710245,-0.0795812139684444,0.921468734113724,-0.208642286213215,-0.0706888543131632,-0.146038885355127,0.123336934623924,-0.237158195744034,0.567030081466889,-0.294189424279866,-0.0641417422552792,-0.266462234574381,-0.209786765155972,1.18510106135762,-1.06882988270232,4.82485560805143,-2.78198817777827,4.81882070927061,-2.78274243870254,-2660.46533928736
-0.0112647042779289,0.766561524827458,-0.244499827819849,-0.452190781645912,-0.62803293157814,-0.235454538811723,-0.0819078278633916,0.917715359549722,-0.204491356720579,-0.0941725661275236,-0.157922854882755,0.0988020667404592,-0.184547609281062,0.559040279628899,-0.341660206229589,-0.399486629584226,-0.3520458531537,-0.121404201455344,2.71488023992561,1.21197516923135,2.70596269890572,-2.23387244660957,1.94229657564654,-1.65694980952882,-2643.22257787778
0.0258444155155276,0.752360525795692,-0.236148737390367,-0.456500747789104,-0.816864139293126,-0.276286686015319,-0.0758720154763644,0.933641645050595,-0.206557115111949,-0.101026889276639,-0.132852973808956,0.0821252111271778,-0.282668713538335,0.611673425108976,-0.340974329641031,-0.398354897705976,-0.263869354795845,-0.188713099161108,2.77204870723701,0.950482102896001,2.06588263769432,-1.72768759247815,1.58722972020112,-1.3487273905491,-2633.73682923386
0.0789946986717745,0.753477490844353,-0.223548960204424,-0.512441407043351,-0.970054968451995,-0.33214328622604,-0.0749925564736199,0.940497467088861,-0.208886938675754,-0.095551982459037,-0.117414774667085,0.0684879473472922,-0.302877608834926,0.651075354342088,-0.339916087680232,-0.290925637856048,-0.260070292609561,-0.220491415789901,2.55290969111856,0.89630626881313,1.59413038900846,-1.22863076725257,0.97892352595944,-0.798875943876752,-2625.16708827415
0.157912894953441,0.79474662339211,-0.218581225276008,-0.666726127239258,-1.22387068133858,-0.405837079867483,-0.0810341682629083,0.940453685991693,-0.211762288498252,-0.0688849649380119,-0.0888148585076244,0.0718078485160828,-0.367359418084007,0.691875276865671,-0.364354871001712,-0.236781516494838,-0.280217523252049,-0.209978509076586,1.75814859880662,-0.00550417137560522,0.95933582311144,-0.591485612952157,0.382011411802133,-0.176678890237949,-2617.19134583965
0.22453784481741,0.803921788946161,-0.156907846398298,-1.0477208121142,-1.46960657273147,-0.598719784640033,-0.0799807369997231,0.933413271060486,-0.220919979641042,-0.012156188278165,-0.0646305846393096,0.0508519975143818,-0.453849191262583,0.682423419699371,-0.400234334846139,-0.0786596633006255,-0.423844589061097,-0.171524058191173,2.09848368781473,0.158641171519859,0.721787028038789,-0.059880195244446,0.151340436714663,0.342901185615147,-2611.53334484609
0.271098319748139,0.770613307813195,-0.0646316392555981,-1.69003476514716,-1.66129575717495,-0.623227535895033,-0.0758449679422326,0.930826397985793,-0.226354964455577,0.0435596451454581,-0.0506097813690138,0.0438050833218857,-0.403132801006724,0.66242567864556,-0.398650712875146,-0.156346844104014,-0.317143537004969,-0.183320163408648,2.27235381162357,0.347152846836455,0.454651269104568,-0.0154506037111348,-0.265974019086243,0.469718693831495,-2607.6991709733
0.200156437142782,0.824181919025476,-0.0635522580933966,-1.89833364767423,-1.61861825044799,-0.532276506138107,-0.0738567413520804,0.933828503467108,-0.229083399694375,0.0823192561533259,-0.0277096460844099,0.0460339240296058,-0.387944288115177,0.642587227872469,-0.39658068681835,-0.216947967864955,-0.356806095227089,-0.165460761418405,2.06924332976673,0.204951863078779,0.516249135800446,-0.106881795568891,-0.197759278272839,0.397295631960924,-2602.81669147127
