"wtp_mileage","wtp_range_year0","wtp_degradation","wtp_packreplace","wtp_cellreplace","asc_no_choice","b_price","logLike"
886.100893343283,26228.0704327761,-9558.34570218448,-56472.1161971155,-41818.4770860721,-122615.356409581,6.95097715916233e-06,-11964.1159951811
898.937628144857,26607.8970781001,-9696.76190614654,-57289.9287631402,-42424.0708076975,-124391.015100318,6.85150351798439e-06,-11964.1159841725
911.759538989253,26988.2037838663,-9835.36098658616,-58108.5404965698,-43030.3312214008,-126168.67487558,6.75501076098493e-06,-11964.115967887
924.611247042513,27368.4208506858,-9973.91889200754,-58927.2151711694,-43636.5586638911,-127946.195137358,6.6612028971845e-06,-11964.1159521171
937.4607164224,27748.6094522603,-10112.4669324664,-59745.8104799069,-44242.7308933339,-129723.548232476,6.56997276924955e-06,-11964.1159368095
950.30917756591,28128.7641238676,-10251.0025911552,-60564.3339106632,-44848.8496283601,-131500.744647504,6.48121503888645e-06,-11964.1159219459
963.156471788652,28508.8863212123,-10389.5264341784,-61382.7868643546,-45454.9163434416,-133277.788622587,6.39483037089642e-06,-11964.1159075069
976.002642894119,28888.9769369336,-10528.0387817928,-62201.1714152755,-46060.932539313,-135054.684570817,6.31072466194086e-06,-11964.1158934743
988.847722081112,29269.036864251,-10666.5399591634,-63019.4894919315,-46666.8996413164,-136831.436666055,6.2288087297352e-06,-11964.1158798305
1003.17275256272,29692.9006513055,-10821.0041595896,-63932.1193396908,-47342.7059768392,-138812.965395073,6.13966985376292e-06,-11964.1158704694
1017.48122863918,30117.3002168632,-10975.6724523823,-64845.6411083257,-48019.2563674927,-140796.727432598,6.05320215366285e-06,-11964.1158557872
1031.82297124505,30541.5997762433,-11130.2948064811,-65759.2332125252,-48695.7700293467,-142780.334024655,5.96914039033391e-06,-11964.1158415734
1046.16221491221,30965.8676255082,-11284.9061718042,-66672.73685047,-49372.2221535653,-144763.754294022,5.88738854229759e-06,-11964.1158277807
1060.50033524344,31390.0976573316,-11439.5037367309,-67586.1603789735,-50048.6146565258,-146746.999938554,5.80785221621359e-06,-11964.1158143906
1074.83715487238,31814.2914962187,-11594.0881330174,-68499.5053589102,-50724.9491822058,-148730.075685333,5.73044239802817e-06,-11964.1158013853
