"b_mileage_a","b_mileage_b","b_range_year0_a","b_range_year0_b","b_degradation_a","b_degradation_b","b_packreplace_a","b_packreplace_b","b_cellreplace_a","b_cellreplace_b","b_price_a","b_price_b","delta_b","gamma_EVB_environ_b","gamma_EVB_function_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_knowledge_gas_b","gamma_knowledge_plugin_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","logLike"
-0.0199463799901952,-0.119781564541764,0.882852049970592,0.854496582329147,-0.164161442519549,-0.320244543962421,-0.0627245323073057,-0.351581051949562,-0.225053169577709,-0.402566930791222,0.0321730346613279,-0.171603845947698,-0.750871390852834,-1.15740428021781,0.698941896451255,-0.561918382957146,0.419921974406384,-0.359763438562946,0.912813989625764,0.473956221244067,-0.108153219205977,-1945.70313584833
-0.0434849152935787,-0.095586646058352,0.921300059802269,0.857349051414973,-0.168428315032942,-0.354342275831004,-0.0679756013682862,-0.448648986499752,-0.206442366677859,-0.548198484488241,0.0726016419668818,-0.202375727576581,-0.720270346222755,-0.932385206768015,0.540719555733002,-0.248504296172036,0.602375092711295,-0.297331515873512,0.971313685570024,0.216045053562281,0.103461204494184,-1928.49282431715
-0.040037768355443,-0.125377227784407,0.890930679644079,0.928394968651443,-0.174691816904736,-0.383867381934154,-0.0961508787340048,-0.472563180995915,-0.220193687469248,-0.571123785628075,0.0590377607480304,-0.269118751523933,-0.855716937903498,-0.909710950025112,0.51885643495487,-0.386624643140508,0.60548355919315,-0.165394205210114,0.868022190501729,0.216907447042702,0.304286199092272,-1921.23695417612
-0.0306478534810187,-0.178736409085391,0.915014147013616,0.980512270884435,-0.173753587168666,-0.391776421613423,-0.0967336096154004,-0.501136410419656,-0.221094365646106,-0.552404770544641,0.0754388421115233,-0.324495374626704,-0.660463354239677,-0.639185279306858,0.369129070918309,-0.324449125478204,0.665426363935092,0.0165466995601838,0.554659048705114,-0.12769793982114,0.398562057901976,-1917.38971876931
-0.0324629361566245,-0.198849033242296,0.899974025475667,0.983850636587252,-0.179781903131737,-0.391705476936953,-0.104116610760976,-0.495816259929008,-0.229147091073982,-0.570443107315522,0.0497730567334148,-0.339835650269345,-0.862494952702034,-0.728368719944462,0.45884310405428,-0.334511939018075,0.666738871980819,-0.0224407193412494,0.606535122849724,-0.0821675220942463,0.422503498533398,-1915.93697229596
-0.0274082722385638,-0.227560890483396,0.911159114908532,0.971242922385828,-0.183914218346748,-0.382593463468361,-0.10451163987309,-0.524954858380116,-0.222702603688798,-0.631992295702878,0.0184723226685132,-0.321862602470762,-1.15148634668555,-0.684920941736525,0.47949768208964,-0.317714000734881,0.620797200729082,-0.0815038213421474,0.602739291939679,-0.102412081935968,0.40241500526047,-1914.4662219809
-0.0247753987984923,-0.255523474366072,0.920145471344044,0.966028007615965,-0.188288172336191,-0.373747276843532,-0.0956961291051291,-0.579895971505102,-0.217216089178643,-0.663350999085095,-0.00120114058601599,-0.316761665075779,-1.11902178240909,-0.630009908716416,0.455026003950886,-0.280534236324988,0.617979849422612,-0.173994890673422,0.539711768380167,-0.127373014238161,0.440558694828235,-1913.14304584136
-0.0231622011688541,-0.286213462785771,0.926731283619241,0.965769749279298,-0.193487636805863,-0.366080440435146,-0.0951545178552987,-0.622281265913244,-0.214257901096404,-0.724405694972197,-0.0195325890910318,-0.317935083647082,-1.24840229584559,-0.606677634163811,0.46490337682445,-0.288885709745314,0.587976652474435,-0.216433329648399,0.512502982553131,-0.132909066124424,0.481836477841827,-1911.88510598076
-0.0224308289283284,-0.309075076177917,0.935697082361495,0.956079368652948,-0.197330755683843,-0.354026949507899,-0.0906418333695967,-0.674931371262307,-0.211072978806427,-0.76468956502929,-0.0334348566364879,-0.320132865737374,-1.2400124796822,-0.52561570909187,0.420226029214899,-0.273160296702094,0.578968930773677,-0.275995378716787,0.448062913370577,-0.170825576839645,0.465441965797118,-1910.75312121726
-0.021906089092885,-0.382065875913268,0.947860514856092,0.922263783088652,-0.212361685555602,-0.327978197652066,-0.0820952819991287,-0.837037241183533,-0.20258800610494,-0.94305311899692,-0.0775596926591206,-0.325108241805907,-1.25306195262428,-0.522065082760054,0.408213112361622,-0.300802229950617,0.52892558289086,-0.377286334694073,0.344551939943842,-0.248801244764172,0.553094708628184,-1908.78750964427
-0.0187931877952336,-0.418485208886649,0.966800072329865,0.908233539984667,-0.2137160450123,-0.301827263068029,-0.0726308020190225,-0.92330077369915,-0.195708688503718,-0.996823612089945,-0.0935754892269041,-0.314613818306564,-1.08982463736124,-0.373332263453773,0.315750135747188,-0.343837112597062,0.475742011558302,-0.525897111998028,0.25555340952153,-0.221595842806295,0.509793035739395,-1908.21443446592
-0.0196093081248184,-0.404562363022436,0.968606553776095,0.892379557990824,-0.213589214036982,-0.295803262100674,-0.072363756070775,-0.881816322828526,-0.193603031429012,-1.00723612606769,-0.0936773131293459,-0.306148110001624,-0.79182001517568,-0.404435579150714,0.267097888826002,-0.365153107475193,0.521159333730577,-0.563099413435507,0.309314627135068,-0.278293680662813,0.475695865051368,-1908.03541670232
-0.0218810017760387,-0.396405956955178,0.968861828940453,0.884276123357377,-0.213675953297299,-0.28859512336204,-0.0725419691368091,-0.891636301511409,-0.192641841057969,-1.03061609993116,-0.0924395630169022,-0.310218443689432,-0.729110462206836,-0.41512120080292,0.252168985213083,-0.368830720328602,0.528392843574535,-0.565371796558729,0.326405525007222,-0.293259190359295,0.494308180543801,-1907.94258009034
-0.0250147218463184,-0.391471697903759,0.967659741283963,0.917575150797393,-0.214686888356396,-0.286663749194113,-0.0789713238779208,-0.913549362324285,-0.194511588704939,-1.1099086181359,-0.0901837375025073,-0.369619619530291,-0.86400290516774,-0.424367199684958,0.25331043308923,-0.410694157815463,0.501615505435399,-0.485288161079042,0.342304762570042,-0.306615940461632,0.528259222581383,-1907.8147726925
-0.025351676039983,-0.389746676349521,0.968398451005931,0.915357180128967,-0.214628265701865,-0.280957760412237,-0.0769630005505467,-0.920190977257363,-0.192945689392361,-1.08633726749788,-0.0885166539975972,-0.367214190286753,-0.751443127495713,-0.402123657721845,0.225719692920696,-0.412607638023479,0.50159983409719,-0.491948624956508,0.312401385853471,-0.335846368751511,0.483287338855229,-1907.71671976921
