"b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_mileage_d","b_range_year0_d","b_degradation_d","b_packreplace_d","b_cellreplace_d","b_price_d","b_mileage_e","b_range_year0_e","b_degradation_e","b_packreplace_e","b_cellreplace_e","b_price_e","b_mileage_f","b_range_year0_f","b_degradation_f","b_packreplace_f","b_cellreplace_f","b_price_f","b_mileage_g","b_range_year0_g","b_degradation_g","b_packreplace_g","b_cellreplace_g","b_price_g","b_mileage_h","b_range_year0_h","b_degradation_h","b_packreplace_h","b_cellreplace_h","b_price_h","delta_b","delta_c","delta_d","delta_e","delta_f","delta_g","delta_h","logLike"
-0.399749263972419,4.13930868767615,-0.632532007490909,-0.338489824448319,0.0381034576405091,-1.78769531315022,-0.0753649935218864,1.3877820076465,-0.177477792007919,-3.93823245554761,-3.46482585663196,-0.0715948910722265,160.860425714383,184.504285556122,-332.871313353995,460.907062741484,6.2036214403633,-271.238312440206,0.656798476513503,-0.141349206542471,-0.452865914670567,-2.67930424977878,1.56529616647898,0.164927113567613,-0.306869661632942,0.67220992167776,-0.0155891847502971,0.120088758093644,-0.0200454023747426,0.334650401107133,0.176969488502523,1.22516469380362,-0.619412371002555,0.175320509661392,-0.0429455000857236,0.146958753691378,-0.486829329348513,0.810078653557129,-0.301291692789006,-0.929963446597669,-0.937525885581696,-0.222473782601803,0.291362938995123,0.517639984902503,-0.00382104132235525,0.600856283783809,0.0168900700482764,-0.590462465197126,-0.296922214018754,-1.31041433744446,-1.45975246258555,0.961623123760316,0.973963165856723,0.0310038156995488,-0.131774452354509,-2495.56288806377
-0.402226374261655,4.18338135555521,-0.637957474210756,-0.349278616527497,0.0442402324228511,-1.81145090123939,-0.0850502783701006,1.37681313893779,-0.176748536023447,-3.92395829917083,-3.45348805543415,-0.0492941327383175,160.86041890735,184.50428181876,-332.871318184905,460.907062741535,6.20362125326642,-271.2383142402,0.643002192044614,-0.0843598772421163,-0.455172959745816,-2.74535519513556,1.48174973504162,0.160040237440094,-0.31518118823734,0.679087910352792,-0.016159957542679,0.122281443404963,-0.0133914249063607,0.348439608231263,0.174315902637283,1.22833052478805,-0.618027789522692,0.180447686658694,-0.0472134205195186,0.144405004670374,-0.484874398016457,0.806585663669612,-0.301095787570568,-0.935840876134499,-0.939467218872055,-0.222079331948023,0.284868066239138,0.511446131723645,-0.00195139410255705,0.573444848299144,-0.00400076758722009,-0.5724024274447,-0.285482669430098,-1.29896560596759,-1.40343888601046,0.951829574279428,0.987719010880323,0.0400486924175227,-0.0670192439590667,-2495.52812451668
-0.402902281045881,4.21031118180457,-0.64040422576528,-0.358744973957558,0.0460645716173487,-1.8275336317744,-0.0934846065104661,1.37167306768744,-0.172287409343945,-3.91639316902407,-3.45193678128654,-0.0346078534413684,160.417090011086,184.260580751205,-333.186283232879,460.907066046563,6.19150102760674,-271.355457351203,0.646359720997152,-0.0220572715222354,-0.459960244403645,-2.78711514482272,1.43509771923146,0.130609748731188,-0.32070659057797,0.679936125190758,-0.0170486785194366,0.12409246521092,-0.00485942601405198,0.353867497989227,0.172248305957867,1.23093972691725,-0.617022541763676,0.184752845306664,-0.0522155397662972,0.143115583179281,-0.481818771237222,0.798062060865393,-0.30005742256415,-0.936652569956225,-0.93554447871067,-0.215163890674322,0.283229151655744,0.510179932383284,0.000190141722431551,0.56114051357705,-0.0131859958919342,-0.566208812434005,-0.281867896058429,-1.29204919633814,-1.3608651214591,0.946895903005987,0.995625868009146,0.0488673811173394,-0.0358598979999181,-2495.51079548585
-0.399505582407007,4.20311213084492,-0.638507356848196,-0.368198597548752,0.0405478338540931,-1.82673870259152,-0.102581975091256,1.36758453625488,-0.168445870796783,-3.90504804587808,-3.44477828242021,-0.0232988622941527,161.380569714027,184.835917712165,-332.856046486564,460.907066252968,6.265309067387,-270.807520984059,0.639718871218717,0.0218249770102441,-0.465870059049955,-2.82924748552624,1.38456043531306,0.127270923467427,-0.322357692502249,0.679109670220658,-0.0170496335309127,0.127816586468586,0.0045591314723841,0.355048621072694,0.170853531191387,1.23103012037892,-0.616257898268853,0.189154329467964,-0.0576357750184325,0.143312906093865,-0.479496089707728,0.79404462124732,-0.299678298877079,-0.935349599055407,-0.938101950612713,-0.214048524134416,0.28171292201341,0.509129568312054,0.00131653385821476,0.554810425877689,-0.0213015352106075,-0.563416134226447,-0.284182874178411,-1.29421571428545,-1.33036598151907,0.94020049217238,0.993980003499063,0.047899989142903,-0.0355666254675595,-2495.50031580562
-0.397541080074885,4.19775884467315,-0.637172952968637,-0.365850129722181,0.0388537245691912,-1.82794370204307,-0.115002680039436,1.36793932005448,-0.165012342335069,-3.89766684469951,-3.44136054604225,-0.012015947728677,159.939602341478,183.718100728873,-333.484223378429,460.907066245769,6.15139696970103,-271.676467466851,0.640179167178955,0.06767951420375,-0.47188923162516,-2.90059987318743,1.33326026498572,0.118887992666997,-0.322504750053556,0.678152620263495,-0.0165521710806878,0.132842504970954,0.0137353272598943,0.354560423476312,0.169667635882241,1.23148530748063,-0.61558176917869,0.192651602146884,-0.0631747848026815,0.143248313583863,-0.477698674277566,0.790021546466496,-0.299176918279095,-0.933457574946246,-0.937482388243772,-0.211290355968698,0.27999544661989,0.509826920124415,0.00117223733024015,0.545665502422811,-0.0257963726547951,-0.560559065938054,-0.288107071959167,-1.29608279335016,-1.30511017628876,0.936090344981965,0.992333492707518,0.0487489122104579,-0.0413199700848751,-2495.49409622159
-0.397948165503965,4.19735055546872,-0.637456595092019,-0.368188557074989,0.0357786552684853,-1.82661931109265,-0.115764795010742,1.36762906870168,-0.163945223624718,-3.89825354458947,-3.44321301732584,-0.0123683363481592,160.114875415183,183.819596678976,-333.436393757215,460.907066247256,6.16437141703218,-271.563744102325,0.639099693445226,0.073262314050783,-0.474264666269603,-2.90134068462136,1.32739831035621,0.119869676125686,-0.321573872685427,0.677977293329156,-0.0163528802807299,0.133744734518519,0.013485539433843,0.352994368650686,0.169716165909332,1.23191356791748,-0.615651797338774,0.192746775544408,-0.0637837126384607,0.143224645158546,-0.477823559305099,0.790933746053704,-0.299319559960256,-0.93361575012792,-0.937541193630125,-0.212008807238672,0.280026920574482,0.51019974858399,0.000642843289053002,0.545607271167323,-0.0259279755074346,-0.561185509318972,-0.289537666171646,-1.29634312023023,-1.30273847748477,0.937898281907981,0.991648193817434,0.0487904395460558,-0.0466306717820765,-2495.49252758215
-0.398175768533987,4.19563050391574,-0.637642600086607,-0.366779111380306,0.0349627889002994,-1.82510658680154,-0.116682998805477,1.3681894014961,-0.163922858301318,-3.90050415547872,-3.4464537197976,-0.012080320340277,160.368502035014,183.968440981467,-333.35943757953,460.907066248542,6.18338839931082,-271.408831234314,0.63777110358322,0.0783410022350961,-0.475366319123435,-2.91616601700093,1.31712986240523,0.121572700288612,-0.320515554620109,0.677700279031555,-0.0162526874906131,0.134338956979376,0.0125486255382589,0.351416928108179,0.169786090664737,1.23239628853633,-0.615958282729169,0.192838353023735,-0.0640265373087033,0.143339169139599,-0.47822655148474,0.792134520170858,-0.299503664877006,-0.9342205921304,-0.937145311333527,-0.212321589596786,0.281435005250814,0.510138488982628,0.00014432019456172,0.545821606559598,-0.0247868918324063,-0.562895952613639,-0.291613771014468,-1.29666423520335,-1.30079079903579,0.939887075086295,0.990287019493323,0.0484846613975906,-0.050922241390366,-2495.49151911869
-0.398466258011306,4.19055217018214,-0.637774833322097,-0.366667812539048,0.0315374706609766,-1.82086339987685,-0.118777142256328,1.36894901790573,-0.162966395917302,-3.90450688507396,-3.45331090424521,-0.011841631995082,160.517136886644,184.067738039785,-333.271764534339,460.907066249867,6.1958747186378,-271.362106441299,0.635358535892891,0.0962298518448766,-0.479218698324624,-2.92973238530511,1.29787921453261,0.119114882966185,-0.318101541330311,0.677174757321073,-0.0159619819010072,0.135790465576073,0.0109638754469069,0.348048737489873,0.169831680291696,1.23353649327723,-0.616574509097824,0.193356276804239,-0.0650717576018551,0.143639747098601,-0.47893745932657,0.794745237532355,-0.299942029916901,-0.935000889324689,-0.937408596982257,-0.213710322782726,0.28379976928086,0.509443579515855,-0.00110623896407377,0.546799348446771,-0.0234641591129145,-0.565769385063252,-0.296362975807434,-1.29792489707051,-1.29266125001836,0.943845121483917,0.986826615264477,0.0472656355001477,-0.0620004995209552,-2495.49013828179
-0.39789934565425,4.18090822485221,-0.636796343784981,-0.364157095645808,0.0304929747388994,-1.81562267268656,-0.120917598791297,1.37048906934816,-0.162465980295816,-3.90890096547869,-3.46085858158208,-0.0108699989947296,161.102188123079,184.52262767815,-332.589709426979,460.907066255909,6.25589415501989,-271.554171057759,0.633560237465987,0.114830319314173,-0.48072405685825,-2.96016696357751,1.27326396848335,0.115263016881042,-0.316652709093839,0.676747599130717,-0.015814883574066,0.136472266240381,0.0092998434636973,0.346304691558312,0.169681915222504,1.23458261642369,-0.617281369296715,0.194291372139336,-0.0657757199472776,0.144120767700254,-0.479194515248603,0.795583831724589,-0.300150423990628,-0.934997646852075,-0.937206848819522,-0.213966460226386,0.286496882138551,0.507010091744253,-0.00237448127714197,0.546384086226925,-0.0204380790582833,-0.566810411789145,-0.301646383721114,-1.30006357690613,-1.28400143607287,0.944867324150786,0.982429285958222,0.045106484113251,-0.0684542148195702,-2495.48910273594
-0.397855208902915,4.17560238833142,-0.63629645294871,-0.360757061996277,0.0317179887608686,-1.81271936224961,-0.123076909721929,1.37105741828653,-0.161926414496651,-3.9117993810209,-3.46721715182214,-0.00923565654933238,161.742215749381,185.185523360798,-331.343350163831,460.907066259481,6.35002103086619,-272.192446006261,0.629627051818667,0.137820696320215,-0.483370006180149,-2.98602545949918,1.24585928426783,0.112037063894411,-0.315220160158991,0.676253837608036,-0.0157188881550029,0.136977350245279,0.00781349902841706,0.344620044053976,0.169357576988486,1.23604163075923,-0.61796870182782,0.195819962493696,-0.0667419920136228,0.144388624905005,-0.479183298549019,0.795535325148295,-0.300289626327463,-0.934719697669727,-0.936709813400312,-0.213802497330064,0.289920609041718,0.504613865069175,-0.00350787195860742,0.546535158393728,-0.0185690726105431,-0.569094482989049,-0.305802197029971,-1.30142739558017,-1.27034447285305,0.946796229419546,0.978778087197778,0.043570874813882,-0.0745488778266564,-2495.48828974475
-0.397826335968669,4.17582166825235,-0.636186968042123,-0.362030908756872,0.0319532204028741,-1.81266468411568,-0.123052666953533,1.37098151615969,-0.161747637697343,-3.91195299747101,-3.46761286718611,-0.00900425318336642,161.833016009532,184.855757840629,-331.672424049868,460.907066259693,6.36056703036426,-272.020152757047,0.62951103025963,0.139911467774383,-0.483796457193884,-2.98919176243337,1.24435276207858,0.11212754329178,-0.315344078110236,0.676258040188357,-0.0157211571443943,0.136969600245689,0.00790283445315813,0.344744760922949,0.169222126750728,1.23619975000475,-0.617974266121755,0.196186203154873,-0.0669043675344877,0.144340611839358,-0.479120483493504,0.795244113735698,-0.300283434477078,-0.934886373241845,-0.936968492659446,-0.21374888194679,0.290101583255541,0.504238553003911,-0.00361062827685892,0.545514336025413,-0.0193272930435447,-0.568955912381147,-0.30582994708077,-1.30141638946571,-1.26868491986786,0.946622056542491,0.978791874290857,0.0435116319165046,-0.0737938037200331,-2495.48804574063
-0.397768902036975,4.17611659326915,-0.636103785960772,-0.362222378272376,0.0327244354854388,-1.81284153221023,-0.1230231680172,1.37086063337758,-0.161773535336474,-3.91181324948019,-3.4672168921678,-0.00873868563344551,161.629464238893,184.412197762479,-332.575027009374,460.907066259693,6.20191230768102,-272.30670272592,0.629437171637322,0.141288057235759,-0.48424885857968,-2.98644032815787,1.24528204445981,0.111536480834431,-0.315489965147162,0.676298717282102,-0.0157220430991108,0.136920643641497,0.0080525399476357,0.344976151673399,0.169098889201984,1.23630095267947,-0.61795246396625,0.196458066028576,-0.0670385723485449,0.144299584567514,-0.479060805304614,0.794936605241837,-0.300270679999296,-0.934967645724176,-0.937292282707104,-0.213650415311994,0.290264361351551,0.503919486482278,-0.00363570635381003,0.544823407336245,-0.0201917743912281,-0.568902390924432,-0.305586292076431,-1.30135182613341,-1.26762800859377,0.946390380144651,0.978900361784553,0.0434703780611079,-0.0730209707752132,-2495.4879018126
-0.398109503032184,4.17877000301095,-0.636358422152085,-0.361181481323154,0.0344101843847825,-1.81443896691321,-0.123203831281606,1.37044874929957,-0.161772380733481,-3.91054162734147,-3.46675241528044,-0.00820122962339435,161.523678002304,184.429855508253,-332.946269031532,460.907066259715,6.18172757802664,-272.34431442654,0.628985533421412,0.145143428973068,-0.484865425675871,-2.9900189699843,1.24225256366914,0.110996113362133,-0.315735951325213,0.676312855679844,-0.0157105772982567,0.13699667219223,0.0081769289629799,0.345127305696792,0.168886361024494,1.23671812132404,-0.617950752214803,0.196856025134143,-0.0672454890015118,0.144190807265369,-0.478702150043025,0.793783207425709,-0.300112748323789,-0.934575500850981,-0.936411037872692,-0.212725178327957,0.290454439247767,0.503600325274254,-0.003724328711818,0.54355405551513,-0.019969514718822,-0.56828065551416,-0.304921581964532,-1.30060460398064,-1.26502651390954,0.946615758072517,0.979538499696279,0.044408655391791,-0.0712472275898088,-2495.48773138199
-0.398289321177217,4.18106414074248,-0.636529680962769,-0.361608545681737,0.0356676537743632,-1.81564378124545,-0.123408252156392,1.37021328531929,-0.161676165077609,-3.90978910576253,-3.4666849777494,-0.00763311178820028,161.255145783735,184.605352403933,-333.03969606246,460.907066259745,6.10583796683403,-272.570628890738,0.628001755322657,0.149510245432335,-0.485463392265558,-2.99574710292446,1.23730362097574,0.111151308732865,-0.315893012210782,0.676329726841806,-0.015699587674579,0.137135332756091,0.0085751319280783,0.345244857813432,0.168631058108011,1.23706630283574,-0.617939271942175,0.197416546315737,-0.0675689528039475,0.144040738232098,-0.478383498312569,0.793034944641244,-0.30004111220458,-0.934527557253201,-0.936610115342895,-0.212499975296424,0.290725820996426,0.503087815777913,-0.00375275588569614,0.542511650981943,-0.0213927947729523,-0.568081554138749,-0.304432384983632,-1.30004511042217,-1.2616582432835,0.946890957113834,0.98011809943634,0.0449202402491902,-0.0699681631283383,-2495.48759314694
-0.398505141026327,4.18333318863551,-0.636763412729345,-0.362191192746805,0.0363799545882964,-1.81678249292343,-0.123818859546273,1.37029956980433,-0.161534768206058,-3.90956287728007,-3.46717374299935,-0.00713078789942227,161.361418048904,184.261273312791,-332.745209411368,460.907066259891,5.94971813380828,-272.812514487625,0.62756875913374,0.155057214126312,-0.486177202761982,-2.99989941501338,1.23263314002631,0.10960911247603,-0.31592518218597,0.676260780522338,-0.0156912691360701,0.137381942355948,0.00896241709252033,0.345115891250528,0.168405858555058,1.23743832462257,-0.617954587292525,0.197914029974485,-0.0680059737078118,0.143919560719056,-0.478184886600343,0.792618974110887,-0.299987741176443,-0.934587668514733,-0.936744646115799,-0.212335745586116,0.291120162763354,0.503040133047418,-0.00374590854309682,0.541868934551175,-0.0218461060330682,-0.568324581534278,-0.304186378226497,-1.29946903273663,-1.25794334131526,0.947504070676331,0.980615066141682,0.0455935916337729,-0.0694495809262913,-2495.48749220751
-0.398626448088214,4.18506918238421,-0.636984681696913,-0.362358837117828,0.0369219770410738,-1.81774675599082,-0.124430323809619,1.37048987137237,-0.16145025225115,-3.90969141054869,-3.46775947138231,-0.00652371140914228,161.16999869968,184.52484201876,-334.804181153325,460.907066260168,6.05243055113261,-271.936883425802,0.626801991526548,0.160189442450108,-0.486955414365434,-3.00549138329615,1.22692550162439,0.109029326297069,-0.315899393863064,0.676328857988686,-0.0156549097855467,0.137705642052524,0.00932684140782058,0.345091431770434,0.168212165883653,1.23778768063849,-0.617985245956671,0.198350246694554,-0.0684656758662157,0.143829791065079,-0.478110221483748,0.792496308051737,-0.299964648587754,-0.934702044810035,-0.936898184172617,-0.212263552398772,0.291248469741983,0.502871162097388,-0.00382802867830696,0.540907871401712,-0.0223853844222162,-0.568099605007708,-0.304163790435293,-1.29902676325074,-1.25448718126801,0.947931073635189,0.980910008102129,0.0461513885355936,-0.0687702998681366,-2495.48741049005
-0.398620379232545,4.18521007818872,-0.637019031783512,-0.362517136576636,0.0367086532281735,-1.81784616093712,-0.124625136509968,1.37048707465733,-0.161360771616928,-3.90993029721619,-3.46805273138697,-0.00638729052216802,161.255926546196,184.339527840119,-334.564648350938,460.90706626031,6.65562046019754,-272.163602636092,0.626754044087473,0.161360991242517,-0.487264753724443,-3.0072092957246,1.22540543309753,0.108987627081821,-0.315847082131593,0.676298646851134,-0.0156549732476669,0.137791189484636,0.00939597662044474,0.34498300215338,0.168182259512408,1.23789017075861,-0.617997559954034,0.19840936466305,-0.0686058917956369,0.143829245394564,-0.478130346491558,0.792598478356448,-0.299975479996003,-0.934805493025517,-0.936879165342377,-0.212306185394351,0.291245686697695,0.502843099147158,-0.00385550197890543,0.540841149175846,-0.0225636366707584,-0.568078654920992,-0.304336174527537,-1.29899085254505,-1.25378388621941,0.948072011008567,0.980875736200621,0.0462092078320888,-0.0688707969961668,-2495.48737586672
