"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_hhincome_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_hhincome_c","gamma_used_bev_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-4.62208958101629,-0.115951473146791,1.08159438942628,-0.471429469062638,-0.374386668232855,-0.14358054222623,-0.888604057040585,-7.46612127097251,-0.365871312325182,-0.0991802745371121,-0.0574883123071571,-0.00621309876070655,-0.34013742620018,-0.438098937180544,-1.14673084552564,-0.165794288473825,0.886904695095481,-0.313122728573279,-0.655613489742089,-0.715389030710728,-0.773072606405109,-1.22246748963282,-9.6799485891907e-06,0.339957176083016,0.423020576424008,-0.334451506230458,1.06874453792995,-1.63835367427972e-06,-0.798824051203654,0.0331376317013125,0.113325832863453,-1398.62611069039
-4.63840240508498,-0.115722548973045,1.07712620548926,-0.47208577114723,-0.375049822389491,-0.144433517456374,-0.888455250268891,-7.44881683385921,-0.366980225900042,-0.0963020111043655,-0.0568964157061069,-0.00550807554067851,-0.33915197145177,-0.437877524694766,-1.12212174018621,-0.164917079787624,0.892815563218019,-0.312648283021503,-0.651907172097512,-0.713983474445135,-0.772613328994084,-1.21397949298551,-9.6908135126952e-06,0.337107466170188,0.42804196014298,-0.331983345220257,1.08761290435148,-1.66565801187306e-06,-0.804339346531343,0.0374793139314525,0.112352949279995,-1398.62274288908
-4.64545089094306,-0.115886397123363,1.07460121924243,-0.472077564176636,-0.375509930848078,-0.145640138233889,-0.887523287158338,-7.43719827047639,-0.367493374935203,-0.096427440256019,-0.0562959127321629,-0.00403817450294958,-0.338210923447619,-0.436848468357706,-1.10450694216585,-0.164418314710899,0.899165097788635,-0.312702570241852,-0.65045021003809,-0.710566439995439,-0.773517826980051,-1.21575326056158,-9.71929885033649e-06,0.336723361850176,0.43301853863322,-0.331469877399345,1.09781732856483,-1.66935254804442e-06,-0.80726070152598,0.0397993909309269,0.112732686700145,-1398.62123875228
-4.64327450953998,-0.115673459456962,1.07459966163109,-0.47227132138244,-0.375506383856685,-0.146452084331187,-0.886584223832781,-7.43947539269298,-0.367840891791126,-0.0967212902863495,-0.0562678902688671,-0.00466259548651004,-0.338160066294123,-0.436811082543784,-1.09950192128723,-0.16423569428974,0.902381925876035,-0.31296236810853,-0.649778582993957,-0.71093681401802,-0.774519534986713,-1.21452535676786,-9.69359172600841e-06,0.33653621427011,0.429924831703856,-0.330812493403785,1.10429741124467,-1.68541498564577e-06,-0.808102997305113,0.0412481823187406,0.113751731454379,-1398.62066491583
-4.63943248734036,-0.115688138714514,1.07511526941779,-0.472137100390917,-0.375411162959444,-0.146925139755691,-0.885873831009331,-7.44094034992058,-0.367792067510368,-0.0979528326871281,-0.0562009384565664,-0.00447665434657425,-0.337807864281802,-0.436581890898626,-1.10024837186743,-0.164356340242891,0.90374075683672,-0.313383219080175,-0.649963743882812,-0.710773624779824,-0.775228233967011,-1.21580645494718,-9.69520358944623e-06,0.336665712819696,0.429979352254811,-0.331038778198106,1.10524916096876,-1.68685245944011e-06,-0.80809730209961,0.04169087026724,0.114527168311038,-1398.62045074787
-4.63590162446794,-0.115624235685552,1.07569813125528,-0.472068629060812,-0.37520357731109,-0.147128103973621,-0.885463946495066,-7.44474190344835,-0.367800727673093,-0.0985853010895338,-0.0562228730571911,-0.00470201521312305,-0.337714252821808,-0.436762980553979,-1.10239253963177,-0.164539677828041,0.903735361400324,-0.313671330506613,-0.650285156790349,-0.710666003428438,-0.77529664642109,-1.21681299106691,-9.69202429184527e-06,0.336943597789035,0.429266099823383,-0.330868472572388,1.10411922379887,-1.68607255458242e-06,-0.807621936670247,0.0416829795807869,0.115173578620307,-1398.62037867775
-4.63422044592423,-0.115591021660772,1.07595257770876,-0.472022306553769,-0.375117988674734,-0.147183383113365,-0.885278245338884,-7.44621797204815,-0.367811835516438,-0.0989692646883676,-0.0562015558430626,-0.00469767607793804,-0.337577365651064,-0.436924323223086,-1.10366471739578,-0.164665872059008,0.903475323311329,-0.313828272628,-0.650198603106734,-0.710811884278729,-0.775168432287659,-1.21664438086135,-9.69418440845407e-06,0.336836519859929,0.429464801132435,-0.330722881139538,1.10337325678015,-1.68587938808176e-06,-0.807411731711452,0.0416203277380101,0.115192965045491,-1398.62035763075
-4.6333941386462,-0.115554528922082,1.07604491741797,-0.472016533852586,-0.375027341946883,-0.147193927124193,-0.885176704526414,-7.44709397678284,-0.3678576539267,-0.0990343355776376,-0.0561843844588125,-0.00475541818350494,-0.337497129045428,-0.43712681436019,-1.10390494969316,-0.164736871311115,0.903247308467974,-0.313895244585678,-0.650181196458147,-0.710588781570932,-0.774936741239259,-1.21663663043918,-9.69527824191247e-06,0.336799209688254,0.429689552051165,-0.330510721614794,1.10297246660203,-1.68465055526769e-06,-0.807401990823548,0.041634038246181,0.115298585297445,-1398.6203493568
-4.63321500744923,-0.115536575780246,1.07602721179762,-0.472017579996013,-0.375010289106385,-0.147205896058361,-0.88512688195959,-7.44727502829327,-0.367909645495992,-0.0990592983530495,-0.0561544144582562,-0.00474610302641212,-0.337448577460394,-0.437248760018395,-1.10350863438534,-0.164758490595934,0.903180990887905,-0.313909400264217,-0.65000497290821,-0.710491120238086,-0.774773592105534,-1.21642004955236,-9.69709605890675e-06,0.336717143978068,0.429928851560406,-0.330336906853597,1.10294683763865,-1.68452846454581e-06,-0.807448848245363,0.0416408440682159,0.115230888144304,-1398.62034609146
-4.63321965732936,-0.115526547476893,1.07599750643203,-0.472028029928153,-0.375002858515107,-0.147210361862102,-0.88510225234731,-7.44712541085138,-0.367941130331956,-0.0990252784372613,-0.0561380698841273,-0.00475241628757942,-0.337425328716103,-0.437319400039704,-1.10303175586092,-0.164753162120739,0.903196029938371,-0.313897735056268,-0.649907182332693,-0.710385148330493,-0.774693468517687,-1.21628219467242,-9.69733030283352e-06,0.336662507628415,0.430047625895245,-0.330258598373561,1.1031361238283,-1.68445065318114e-06,-0.807547713359791,0.0416735158275884,0.11520592377273,-1398.62034500263
-4.63329270477524,-0.115527494944487,1.0759788470837,-0.472031836069302,-0.375012073874083,-0.147216673287837,-0.88509938014074,-7.44701725549955,-0.367955333591373,-0.0990149507372127,-0.0561302769756135,-0.00474840006546659,-0.337428829604949,-0.437330145289204,-1.10274088087359,-0.164742035950204,0.903238994880636,-0.313883697479595,-0.649855438414443,-0.710348550085577,-0.774683833257542,-1.21625441210411,-9.6975691428805e-06,0.336657405858756,0.43006148119416,-0.33023325170014,1.10326208588,-1.68456016317261e-06,-0.807589657375337,0.0416847992650567,0.11518947278588,-1398.62034476773
-4.63329343472029,-0.115527936669513,1.07597986116843,-0.472033810597713,-0.375013822297556,-0.147218331531545,-0.885097521125645,-7.44695329999742,-0.367955218477925,-0.0990094109528428,-0.0561303866763217,-0.00475260589488774,-0.337430830480516,-0.437330117233298,-1.10267473666443,-0.16473617267794,0.903257099056102,-0.313876809334104,-0.649850276436559,-0.710345087038545,-0.774694248348147,-1.21625686438941,-9.69724364968806e-06,0.33665688463916,0.430041448180001,-0.330245006162918,1.10331728549694,-1.68460733299054e-06,-0.807604024973811,0.0416852912918206,0.115188092096986,-1398.62034473163
