"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_used_bev_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-5.16126501172785,-0.0428750584581867,1.00229186138577,-0.559202214088255,-0.201360845185784,-0.133486257743133,-0.991503438291404,-7.71889663221588,-0.306656124030304,0.0595898790193172,-0.050353298211714,-0.261263147392225,-0.473357908752992,-0.623490375847672,-1.60795247374996,-0.222588831528907,0.55827389243126,-0.31175041751183,-1.20518217371362,-1.26035883007248,-0.564079512174833,-0.0817840589151893,-0.0567339809398113,-0.0684448978370664,-0.38643104377681,0.64156743986517,-0.560203471953866,-0.190647356784653,0.126351389793824,-2439.53562622214
-4.96941132426225,-0.0399602461192818,0.959860402665576,-0.535191035660962,-0.16024097375893,-0.173967115516348,-0.930047508459827,-7.99741665505356,-0.324333625336186,0.00365595396997315,-0.0387238077561946,-0.241224097654451,-0.414615803873212,-0.617330477145974,-1.54820095364986,-0.232814488379916,0.533806826986869,-0.307084042143491,-1.18428753290907,-1.2298186590155,-0.534204516135351,-0.275465614991627,-0.0107135221082489,-0.0848970754615867,-0.320690274928187,0.422089414580161,-0.497512117023775,-0.289242645346181,0.174104312623014,-2437.54606310234
-4.68897584673156,-0.019561195087657,0.980402776473455,-0.539784208258876,-0.123394910361609,-0.188816430682412,-0.892715095378289,-7.94197625235496,-0.336258041095812,0.0171815653490294,-0.0543030862616443,-0.2346948171448,-0.377616263799849,-0.630473483443919,-1.5141717395758,-0.24249865656322,0.504282719953698,-0.300622764625338,-1.18960650720646,-1.22436196025363,-0.502547176567687,-0.332593800388266,0.010929956440037,-0.0409803942278019,-0.272998369634273,0.342714933270634,-0.469284393218248,-0.31325747931812,0.203005555107318,-2436.73398092722
-4.55540076671524,-0.0193775590988032,0.980152091369653,-0.534346296326332,-0.10444681072904,-0.177588304886917,-0.866662791096392,-8.01856960827852,-0.343502518961016,0.0195645643332672,-0.0518054230328235,-0.240621800007993,-0.375092462518502,-0.647050550947999,-1.47982350640741,-0.239427998873776,0.494085460249749,-0.297385081760469,-1.19125425937183,-1.23785498601384,-0.487942087157447,-0.318014495563603,0.00489239604904938,-0.0310513323220392,-0.272902049931914,0.386732026295108,-0.487609167403266,-0.285920464495865,0.210413226534422,-2436.59917036936
-4.49753216942432,-0.0172650147155832,0.987379394162897,-0.535027903296834,-0.102976209764311,-0.17523250927451,-0.857999248884482,-8.0226227901069,-0.345865615911124,0.0225915964709023,-0.0521788705509902,-0.245226846231691,-0.381560539819313,-0.658407143500513,-1.45272891962603,-0.238767610079675,0.496771511303699,-0.296281708668014,-1.19613128794301,-1.23744436069607,-0.480526050949253,-0.29431806829299,-0.000732732660276449,-0.0288632800924311,-0.272680471183002,0.398536917225389,-0.49123293480216,-0.284517718168668,0.208769762625608,-2436.56819339657
-4.4653568159929,-0.0168188273173288,0.99306043958101,-0.535882916157083,-0.103692891311977,-0.17399980641647,-0.852479304945026,-8.02545718529334,-0.346468615724094,0.0219358840766578,-0.0523206569976764,-0.249787121495936,-0.386784825326326,-0.66738828026689,-1.44204482319942,-0.237986990378849,0.499005740431309,-0.295999387301715,-1.20133012594149,-1.23941045500605,-0.478844994173679,-0.281694190413502,-0.00364498475624898,-0.0329066118889123,-0.269961718676584,0.399545665922118,-0.490711278390907,-0.283589709384845,0.211016665731498,-2436.55730078306
-4.4536119666411,-0.0167773809477619,0.99580957614874,-0.536528580785677,-0.102984122783501,-0.173330290793541,-0.850366225583582,-8.02499197489991,-0.345724780103363,0.0207711830527683,-0.0523787623379287,-0.251218634297483,-0.388400502272377,-0.670880893906307,-1.44229014301485,-0.237725373875834,0.499985332942477,-0.296226269525636,-1.20277186295244,-1.23957794548246,-0.479387627066192,-0.279825355269505,-0.00339124623596835,-0.0373473038791355,-0.269659015315155,0.39813842359995,-0.489504858052816,-0.287569733014809,0.210757189869747,-2436.55475885143
-4.44884592306664,-0.0170403874269161,0.997188941062793,-0.536945147757145,-0.10240934923309,-0.173113117722208,-0.849278324803007,-8.02426417447965,-0.344982325824418,0.0196874096581987,-0.0524123790097509,-0.251471388074463,-0.388549132969261,-0.671771966510788,-1.44673371425643,-0.237674994664272,0.499524605336179,-0.296322944270003,-1.20284521144427,-1.23955165126073,-0.480407375925971,-0.280464111682043,-0.00276624350485423,-0.0401290121631011,-0.269102905605224,0.396164900704381,-0.488369993131995,-0.289350724870735,0.211249978353937,-2436.55400444929
-4.44769872127068,-0.0171925621449409,0.997427577215678,-0.537056421248487,-0.102018830158136,-0.173022147057396,-0.84894434939695,-8.02452239400465,-0.344651698329661,0.0194476983969253,-0.0524337464952067,-0.251225788619832,-0.388246678912771,-0.671448998349522,-1.4491838449035,-0.237713471853934,0.499150504767543,-0.296355223783096,-1.20256890474832,-1.23951010132511,-0.480847166353519,-0.281336357917995,-0.00235876045147004,-0.0409477600119085,-0.269136856858532,0.395979589757358,-0.488154576232478,-0.290088656838097,0.210863708400178,-2436.55387332094
-4.44748771739312,-0.0172719363144452,0.997431364904444,-0.537082465892988,-0.101934006918256,-0.173037004571349,-0.848834745527142,-8.02513815821223,-0.344560882152938,0.0194504505874242,-0.0524447280164852,-0.250991747644511,-0.388039540736112,-0.671113398859424,-1.45028615505434,-0.23774297347983,0.498832920349891,-0.29631689579782,-1.20239379053603,-1.23938403982875,-0.480953592786185,-0.281626251840403,-0.00226066955763883,-0.0409051889569251,-0.269184666862819,0.395924914698256,-0.488111617860536,-0.290068477642125,0.210822449744921,-2436.55384984607
-4.44736451774924,-0.0172891297048926,0.997400384289417,-0.537076751122688,-0.101934857117039,-0.173031647543175,-0.84879545433494,-8.02551248441786,-0.344564600658754,0.0195012846622391,-0.0524514778928915,-0.250929202203909,-0.387984690304105,-0.6709987135114,-1.4503170093636,-0.23773994395234,0.498790489302455,-0.296299079692978,-1.2024230451091,-1.23944169715509,-0.480932900158961,-0.281596349579967,-0.00227535276684688,-0.0408254928424806,-0.269215885005421,0.396090177570335,-0.488171431173382,-0.290026911702886,0.210703226076287,-2436.55384702853
-4.44731472134254,-0.0172920100032435,0.997398044034028,-0.537077176877376,-0.10195110872965,-0.173034671430469,-0.848781312548794,-8.02566759804847,-0.344572064332736,0.0195263081779379,-0.0524535313458266,-0.25091103143785,-0.387979825945797,-0.670986611809724,-1.45026866997612,-0.237734555366793,0.498772080587296,-0.296284486433594,-1.20246681857013,-1.23945326944712,-0.480906657564266,-0.281558880136769,-0.00228975522705101,-0.0407739374478304,-0.269233262384222,0.396079812485899,-0.48817047612001,-0.290010394192855,0.210704583318666,-2436.55384658364
-4.44728494419673,-0.0172937275326903,0.997398382519434,-0.537077489244284,-0.101956826104595,-0.173031946683848,-0.848773954448891,-8.02570893428397,-0.344574868907812,0.0195317104280326,-0.0524542074497312,-0.25091133832266,-0.387982496206486,-0.670992682544771,-1.45022487590795,-0.23772899932357,0.498774105836736,-0.296278644133513,-1.20251002094489,-1.2394851586436,-0.48089628969934,-0.281537055492656,-0.00229658175689341,-0.0407688702534957,-0.269235126191528,0.396072802765773,-0.488167967670802,-0.29001868899402,0.210697059662984,-2436.55384647782
