resp_removed,term,estimate_loo,std.error_loo,estimate_full,std.error_full,diff_estimate,diff_std,diff_estimate_perc,diff_std_perc
15,age,-0.394781716912493,0.06659823539601688,-0.3947919234373871,0.06662227667261399,1e-5,-2e-5,-0.003,-0.036
15,operating_cost,-0.1443752220619213,0.03791982888661495,-0.14437894567590726,0.03792653641845433,0,-1e-5,-0.003,-0.018
15,range_bev,0.6028077231166541,0.3546757151597164,0.6031531566243922,0.35471563430461767,-3.5e-4,-4e-5,-0.057,-0.011
15,range_phev,-0.057867603085796956,0.21924320322161917,-0.05770556039922972,0.21924487500339213,-1.6e-4,-0,0.281,-0.001
15,powertrainbev,-5.422642372927325,0.9945618689097354,-5.423354656968233,0.9950117848307474,7.1e-4,-4.5e-4,-0.013,-0.045
15,powertrainphev,-3.8400204100844593,0.8390191528790651,-3.840460502160854,0.839279392941598,4.4e-4,-2.6e-4,-0.011,-0.031
15,powertrainhev,-0.7046405747790861,0.30813440173265083,-0.70418430512551,0.3081112001028441,-4.6e-4,2e-5,0.065,0.008
15,no_choice,-12.690710287977717,1.5065930192091446,-12.69086154695635,1.5072393648797635,1.5e-4,-6.5e-4,-0.001,-0.043
16,scalePar,0.27578015555295016,0.037985619542777356,0.27576060111899015,0.03801371262145017,2e-5,-3e-5,0.007,-0.074
16,mileage,-0.6354040669466205,0.12302101880016124,-0.6353231034422926,0.12305555601167874,-8e-5,-3e-5,0.013,-0.028
16,age,-0.39471948417543423,0.06657286215484635,-0.3947919234373871,0.06662227667261399,7e-5,-5e-5,-0.018,-0.074
16,operating_cost,-0.14433679881798764,0.03790974531977706,-0.14437894567590726,0.03792653641845433,4e-5,-2e-5,-0.029,-0.044
16,range_bev,0.6030815764874317,0.3546722294520726,0.6031531566243922,0.35471563430461767,-7e-5,-4e-5,-0.012,-0.012
16,range_phev,-0.05793048889114298,0.21923361557211032,-0.05770556039922972,0.21924487500339213,-2.2e-4,-1e-5,0.39,-0.005
16,powertrainbev,-5.42261942931562,0.9944036056033048,-5.423354656968233,0.9950117848307474,7.4e-4,-6.1e-4,-0.014,-0.061
16,powertrainphev,-3.8396043168435683,0.8388383974925945,-3.840460502160854,0.839279392941598,8.6e-4,-4.4e-4,-0.022,-0.053
16,powertrainhev,-0.7044081175739035,0.30808928143741793,-0.70418430512551,0.3081112001028441,-2.2e-4,-2e-5,0.032,-0.007
16,no_choice,-12.689332216948529,1.5059439932604923,-12.69086154695635,1.5072393648797635,0.00153,-0.0013,-0.012,-0.086
17,scalePar,0.27578834220272863,0.03799169677882338,0.27576060111899015,0.03801371262145017,3e-5,-2e-5,0.01,-0.058
17,mileage,-0.6353556266143467,0.12302005661461586,-0.6353231034422926,0.12305555601167874,-3e-5,-4e-5,0.005,-0.029
17,age,-0.3947545950328555,0.06658693747680854,-0.3947919234373871,0.06662227667261399,4e-5,-4e-5,-0.009,-0.053
17,operating_cost,-0.14440732877631074,0.03792181975520402,-0.14437894567590726,0.03792653641845433,-3e-5,-0,0.02,-0.012
17,range_bev,0.6024837441064581,0.3546340235307509,0.6031531566243922,0.35471563430461767,-6.7e-4,-8e-5,-0.111,-0.023
17,range_phev,-0.0577688100320255,0.21922444661449836,-0.05770556039922972,0.21924487500339213,-6e-5,-2e-5,0.11,-0.009
17,powertrainbev,-5.421979778855329,0.994348509683937,-5.423354656968233,0.9950117848307474,0.00137,-6.6e-4,-0.025,-0.067
17,powertrainphev,-3.8396631967958093,0.8388911216734558,-3.840460502160854,0.839279392941598,8e-4,-3.9e-4,-0.021,-0.046
17,powertrainhev,-0.7039390329296473,0.3080447637799668,-0.70418430512551,0.3081112001028441,2.5e-4,-7e-5,-0.035,-0.022
