Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6942e4833ad52d5eb620a712,650b03136ab3d4c832d98b71,SCREENED OUT,Not Applicable,2025-12-17T17:12:39.759000Z,2025-12-17T17:12:51.904000Z,,2025-12-17T17:12:52.137837Z,13.0,C1N42823,13319,English,Yes,31,Male,Other,Israel,United States,United States,Hebrew,No,Part-Time
6942e4984d6be3d96f559a40,5de5538f8fde1c4dbc951498,SCREENED OUT,Not Applicable,2025-12-17T17:13:00.417000Z,2025-12-17T17:13:46.984000Z,,2025-12-17T17:13:47.238057Z,47.0,C1N42823,10627,English,Yes,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6942e522e13c646e7ea89eed,62694f79608ed29b7af936b1,SCREENED OUT,Not Applicable,2025-12-17T17:15:21.225000Z,2025-12-17T17:15:49.956000Z,,2025-12-17T17:15:50.191665Z,29.0,C1N42823,13265,English,Yes,59,Female,White,United States,United States,United States,English,No,Full-Time
6942e5c3e83808f59ba38048,62029a39ef1cb18a1337c5e3,SCREENED OUT,Not Applicable,2025-12-17T17:17:58.393000Z,2025-12-17T17:18:40.137000Z,,2025-12-17T17:18:40.369372Z,42.0,C1N42823,3343,English,Yes,54,Female,White,United States,United States,United States,English,No,Full-Time
6942e722ac7199b5385ad4a8,5edfbd316e98a72c5f5bdf16,SCREENED OUT,Not Applicable,2025-12-17T17:31:32.008000Z,2025-12-17T17:33:13.011000Z,,2025-12-17T17:33:13.287040Z,102.0,C1N42823,3569,English,Yes,31,Male,White,United States,United States,United States,English,No,Full-Time
6942e726ec554be58e4e3a23,67ec9fc858f4594fd069d5ff,SCREENED OUT,Not Applicable,2025-12-17T17:23:54.651000Z,2025-12-17T17:24:46.979000Z,,2025-12-17T17:24:47.257949Z,53.0,C1N42823,1159,English,Yes,75,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6942e7e94063a22691ef2ff9,62740cf8e39eba1055ef571b,APPROVED,Not Applicable,2025-12-17T17:27:08.988000Z,2025-12-17T17:58:27.863000Z,2025-12-17T22:05:26.411000Z,2025-12-17T17:58:28.239912Z,1879.0,3809780382,10620,English,Yes,53,Female,Asian,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942e867edacfc1a6f538530,5b5a822e1ad8270001c4f28d,RETURNED,Not Applicable,2025-12-17T17:29:14.833000Z,,,2025-12-17T21:55:58.039329Z,,,15755,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942eab8050bb0793359a04a,6545400d6d15a71561d3d2e9,RETURNED,Not Applicable,2025-12-17T17:39:08.873000Z,,,2025-12-17T21:55:58.041132Z,,,1190,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942eadcaf0b18808b64e25d,60a7d7b70d3cf8f48a8a490d,RETURNED,Not Applicable,2025-12-17T17:41:46.461000Z,,,2025-12-17T21:55:58.042973Z,,,4368,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
