session_id,psid,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
c413a149d6bd1e57800eef28d2afec73,AsK7VyJQfSR0EqtXRJxUwdRs,266,6,0,4,1596,0,2025-10-27T18:52:58Z,25.916666666666668,3.3666666666666667,10000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,1,243,1,1597,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,25000,20000,cellreplace,280,0.01,0,100%,97%,92%,270,260,Refurbished Cell-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,1,1634,2,1597,1,2025-10-27T19:10:01Z,8.95,2.1,20000,car,20000,16000,original,280,0.04,0,100%,88%,72%,250,200,Original Battery
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,1,513,3,1597,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,15000,16000,cellreplace,200,0.02,0,100%,94%,85%,190,170,Refurbished Cell-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,1,0,4,1597,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,2,2057,1,1598,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,15000,18000,cellreplace,240,0.05,0,100%,86%,66%,205,160,Refurbished Cell-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,2,3085,2,1598,1,2025-10-27T19:10:01Z,8.95,2.1,20000,car,35000,18000,original,280,0.07,0,100%,80%,56%,225,155,Original Battery
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,2,3053,3,1598,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,35000,18000,packreplace,240,0.07,0,100%,80%,56%,195,135,Refurbished Pack-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,2,0,4,1598,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,3,3532,1,1599,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,30000,18000,packreplace,240,0.08,0,100%,78%,51%,185,125,Refurbished Pack-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,3,1603,2,1599,1,2025-10-27T19:10:01Z,8.95,2.1,20000,car,25000,16000,packreplace,240,0.04,0,100%,88%,72%,210,175,Refurbished Pack-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,3,2093,3,1599,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,35000,18000,packreplace,240,0.05,0,100%,86%,66%,205,160,Refurbished Pack-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,3,0,4,1599,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,4,382,1,1600,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,40000,22000,packreplace,320,0.01,0,100%,97%,92%,310,295,Refurbished Pack-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,4,2273,2,1600,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,15000,16000,packreplace,320,0.05,0,100%,86%,66%,275,210,Refurbished Pack-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,4,2140,3,1600,1,2025-10-27T19:10:01Z,8.95,2.1,20000,car,30000,22000,original,280,0.05,0,100%,86%,66%,240,185,Original Battery
