"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-4.64498827158439,-8.11372124846035,-3.57605595095528,-1.3236202872038,1.7999637027402,0.119737344376394,-0.279417318748928,-0.144089383095239,-0.0412516338710384,-0.399980033911714,-6.75652556692961,-0.366529463536168,0.0872588550666763,0.632448762307082,0.163269110972583,-0.048406220768056,-0.144671582523511,-0.124263320455144,-0.0510974505676368,-0.647839309388991,-3.07893572858155,0.360863864809082,0.519938753478812,0.521306512955421,0.331498336619873,-0.087017299819815,-0.222563939621878,0.00157652750751914,-0.0690235261104443,-1.13780281365002,0.226628767265471,1.28507411757508,-0.470788548632212,-1.39653206248601,0.78555750651889,-0.522200874079746,-2178.17383643792
-4.64535088619229,-8.1171738468892,-3.57886187301783,-1.32398013791006,1.80082999664655,0.121045518640081,-0.279533996451788,-0.144143567139983,-0.0412617056837807,-0.399902965372768,-6.75716846785722,-0.366835087960493,0.08716067012773,0.6322614649047,0.163233097489233,-0.0485123297901335,-0.14457607470363,-0.12429975787673,-0.0511233400882232,-0.647911120882948,-3.07484595863794,0.365616452191851,0.515046792384565,0.526873637426262,0.334904069243654,-0.0846047559394462,-0.224373613163059,0.00233636546123814,-0.0680588686657662,-1.13966354961891,0.226615742455976,1.28422357394838,-0.469657772853188,-1.39629470807404,0.78200589831882,-0.52220891585797,-2178.17361381809
-4.6464274283253,-8.12162930189884,-3.57991801745599,-1.3243038565381,1.80165295710465,0.121654293846708,-0.279744081798647,-0.144244389586131,-0.0412506188001718,-0.399912117222467,-6.75609007076747,-0.3674174341891,0.0869862228017846,0.632337524791821,0.163427128062065,-0.048486798497833,-0.14456564428736,-0.12426658598266,-0.0511269868510461,-0.647845989865637,-3.07567896581737,0.357200467794037,0.521681571458388,0.520325287365316,0.334407567664996,-0.0899784454614831,-0.223361641097671,0.00260969711634052,-0.0682036261495632,-1.14041785915912,0.22736698751047,1.28408707039887,-0.470203861665956,-1.3950316654771,0.781676628824961,-0.52262929545775,-2178.17292185114
-4.64667046958379,-8.12504000939575,-3.57910168098319,-1.32458612325387,1.80245949674102,0.121326625266666,-0.2798668747647,-0.144277296039972,-0.0412479745495193,-0.399782664147828,-6.75658810500933,-0.367879301589246,0.0871467869771299,0.632402409678657,0.163592727075114,-0.0486394574967721,-0.144598983757277,-0.124266076285768,-0.0511360936198439,-0.647867899291566,-3.08150671214564,0.356686664687641,0.5053043549095,0.514442819438225,0.329405239010422,-0.086266909335569,-0.222103360250264,0.00238704238185854,-0.0684101070718911,-1.14142255811384,0.227798559880873,1.2841370592698,-0.470404581847703,-1.39472115991912,0.781479727743162,-0.525848367697862,-2178.17285032152
-4.64692251088496,-8.12719640672086,-3.57997796306675,-1.32484334438886,1.8028672814158,0.121716862305481,-0.279952590286916,-0.144328650887921,-0.0412429475000377,-0.399711288190477,-6.75605812418819,-0.36816783313492,0.0867908172914052,0.632369396314429,0.163636320456648,-0.0485595117824398,-0.14457031563474,-0.124255492940387,-0.0511342885242565,-0.647838769248976,-3.08155151024239,0.354325651031682,0.51346151456277,0.51399202917532,0.330728706585579,-0.0897841758408615,-0.222339281962671,0.00257779149796327,-0.0683794043084325,-1.1413518903896,0.228017400042609,1.28404653310028,-0.470424476861155,-1.39397727073987,0.779970800342357,-0.525107120625096,-2178.17260729009
-4.6468259960246,-8.12905115211763,-3.5808529844682,-1.3250896347147,1.8033438485496,0.122087015500262,-0.280019284599441,-0.144354107376674,-0.0412410017824355,-0.399582622516667,-6.75631933251733,-0.368527033311979,0.0866095313923725,0.632400470280446,0.163745902117093,-0.0485558469940183,-0.14454324289885,-0.124268449096091,-0.0511380261779633,-0.64789015003443,-3.07977744646675,0.354708801196689,0.51367057689399,0.513331868264471,0.331187056376811,-0.0899481852827467,-0.222503137261698,0.00291103827069247,-0.0680860805278737,-1.14217253260376,0.228148583207403,1.28395141570123,-0.47033608051482,-1.3933732635956,0.77954468905597,-0.524284369132555,-2178.17253860916
-4.64668800761415,-8.13090808573876,-3.58126080570448,-1.32531642003731,1.80391043684024,0.12223397113153,-0.280073591162533,-0.144355629307244,-0.0412383786664346,-0.399488790455776,-6.7563762194781,-0.368756417797508,0.0863880467194915,0.632352272819579,0.163777300421503,-0.048548835454432,-0.144535885657738,-0.124271262573953,-0.0511397340756046,-0.647880782449997,-3.08092614010289,0.354497060404213,0.514771039090364,0.51365404987321,0.331365643927447,-0.0903266650881367,-0.222503919792602,0.00289387017064506,-0.0680277779284509,-1.14259065828097,0.228283883546395,1.28383519559226,-0.470273405602354,-1.39318339519625,0.778917660304836,-0.524992182251888,-2178.17249465379
-4.64655419366856,-8.13360762026095,-3.58167073884448,-1.32562456744491,1.80469947545098,0.122378408541651,-0.280154249667139,-0.144370060066691,-0.0412335615220924,-0.39935043827872,-6.75645438217375,-0.369146180099198,0.0861507262493162,0.632335282795851,0.163874748716941,-0.0485566967098893,-0.144527748981785,-0.124273903997886,-0.0511404076580038,-0.647888651249496,-3.08268604595516,0.354536915673921,0.514421049223639,0.512688778270004,0.330477075753314,-0.0905804200631709,-0.222399087166839,0.00292029111510741,-0.0680041660004841,-1.14304969531407,0.228513672091275,1.28372771187571,-0.470276554951031,-1.39264097528445,0.778072364692202,-0.525417363146073,-2178.1724540791
-4.64639415269457,-8.13692767596818,-3.5820217530365,-1.32597187744544,1.80569196507737,0.12251129023929,-0.280258590229834,-0.144390208697875,-0.0412274624867965,-0.399184563364303,-6.75665399440605,-0.369663353800599,0.0858792206712733,0.632325935107075,0.164009630749201,-0.0485810743233204,-0.144519558218888,-0.124278221913334,-0.0511428730205688,-0.647908168829125,-3.08421866764724,0.353985922632195,0.513368588404473,0.510835322228377,0.329487603136554,-0.0906671754215927,-0.222051806017374,0.00297962344012708,-0.0679537962044543,-1.14377558198364,0.228828154915588,1.28363875217815,-0.470333805615834,-1.39200969216962,0.777602469500953,-0.526014149888338,-2178.17242671053
-4.64634714912944,-8.13810511181748,-3.58208461412546,-1.32607974763033,1.80608008275247,0.122533678307407,-0.280287308315147,-0.144397265791648,-0.041225294324262,-0.399140530473241,-6.7566961497928,-0.369863719749076,0.0858125507043955,0.632329221560945,0.164071213233433,-0.048597154931545,-0.144515096720205,-0.124278596110561,-0.0511422761608782,-0.647923340942412,-3.08498168420748,0.354674356527476,0.512064209485323,0.510205189564215,0.328613586527356,-0.090379939985657,-0.222033507217353,0.00300868856387214,-0.0679713046921248,-1.14384904903244,0.228917271964235,1.2835753006924,-0.470363104584632,-1.39173608217758,0.777243524006066,-0.525868953860169,-2178.17241951445
