"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_ev_neighbor_a","gamma_knowledge_ev_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_refuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-6.12092245905106,-0.285056795826248,1.07377507650352,-0.763477546238616,-0.328103547121418,-0.280819615989818,-1.20484599355253,-1.1695183757237,-0.3463659651475,0.748485142054761,-0.435039319765184,-0.606241461685667,-0.542865194451579,-0.916728010582888,-3.74053864482272,-0.123826265634497,0.263364672940303,-0.0952020639599965,-0.317675167505365,-0.305396573092167,-0.521742232839403,-0.104117827990972,-0.0802685242432846,0.259061612737907,0.106880318128471,0.439251613058509,0.218199950335395,0.379345538711036,0.872024382782189,0.469099421131068,-0.0707395823588666,0.0532754509150771,-0.0990646574894781,2.16728587575778,-0.753042783997013,0.627903605158202,0.0470506183419663,0.595079945629352,0.219048895423763,0.0567812521816922,0.0544997697968077,0.767318519734227,-0.57460557633459,0.0799782392718304,-0.4256514221325,-4645.42799354248
-6.12173228621908,-0.284866459759896,1.07273632173426,-0.76462906839342,-0.327873155754677,-0.280873952583351,-1.2026430338385,-1.1723028965457,-0.346575392999527,0.750015407429827,-0.43594863153472,-0.606287841485763,-0.542475140354105,-0.918276065897683,-3.74372949986702,-0.124107614608373,0.265750360780805,-0.0956365359028602,-0.31713686290008,-0.305593597837104,-0.524741042761589,-0.105224164892451,-0.0788374245049661,0.260476103094017,0.106990872464979,0.43625316953547,0.218480706046315,0.380018926178766,0.87350462879132,0.467607716119654,-0.0721465841940449,0.0534400275893443,-0.0997777194479165,2.17154412382944,-0.751390639240022,0.625380459902369,0.0471632132700328,0.595799630508826,0.215994955977839,0.0571488399306997,0.0548799445426517,0.770705087754617,-0.576386584941735,0.0798768370711997,-0.426173345245802,-4645.42330148034
-6.12084732473884,-0.284825918799928,1.07271829840078,-0.766104560789446,-0.327021465981633,-0.280144513309974,-1.19995981103568,-1.17400179648815,-0.34659638975758,0.752161845753437,-0.437137878501555,-0.606099184367367,-0.5415206372521,-0.919650082995172,-3.74913008931665,-0.12435684056734,0.267986341436577,-0.096195063628216,-0.317223679307604,-0.306563735363487,-0.528254178788961,-0.108652476797878,-0.0775485391041881,0.262442594514979,0.107143333728542,0.433139957948166,0.218503496625706,0.380088596588173,0.874946570145444,0.465927082292092,-0.073168604117184,0.0536105003003,-0.100125464566417,2.17721953156298,-0.750253111372097,0.622098034600096,0.0472338887340385,0.595714571410847,0.213434118589109,0.0572498036591228,0.0554722842875927,0.772065732753364,-0.577601590310276,0.0797353503463765,-0.426544959229572,-4645.41969930388
-6.11956751326937,-0.284952309182658,1.07341229416002,-0.767226202248228,-0.326153568725639,-0.279135824035368,-1.19799801757734,-1.17336498987719,-0.346373110806606,0.753711644807973,-0.437859623839603,-0.60567991837081,-0.540701403769837,-0.92016600892948,-3.75380190332352,-0.12450841144643,0.268994961068499,-0.0965532880335212,-0.317732550907537,-0.307556835253072,-0.530668686806453,-0.112428195441076,-0.0770878513306471,0.263991289375622,0.107236260188519,0.431509827360473,0.218225028286525,0.379910918283173,0.875503059801887,0.465055522694827,-0.0732905525274353,0.0536931103911851,-0.0999830900461567,2.18106148645549,-0.750037486487043,0.619818246999358,0.0472345471644731,0.59498220360474,0.212247063500106,0.0573774366373323,0.0555607789615693,0.771404891945146,-0.577779498332489,0.079633717949868,-0.426516537200428,-4645.41771563433
-6.11812245429201,-0.285194619321154,1.07459217257176,-0.768510161230051,-0.32506472777899,-0.277705403826651,-1.19583281756394,-1.17162426834915,-0.346025400661325,0.755417082099701,-0.438501299152885,-0.605189231724251,-0.539807482398926,-0.920459324490161,-3.75901781623796,-0.124652279290647,0.269634385231801,-0.096895899831034,-0.318522194355745,-0.308762205585012,-0.533203112319604,-0.11759613910673,-0.0767510041943721,0.26590008542548,0.107334256378797,0.430328551780086,0.217939210963629,0.379473188786332,0.875824025795897,0.464360756671746,-0.073157776107699,0.0537560132572553,-0.0995749217119756,2.18495151606458,-0.750200689247248,0.617281592713804,0.04719145501806,0.59378541101072,0.211586343644717,0.0575360333754234,0.0555345594623487,0.769494412690633,-0.577553679010153,0.0795315331735829,-0.426230433712563,-4645.41603046285
-6.11723132560234,-0.285421868694455,1.07556990498922,-0.769291303652919,-0.324336896288037,-0.276628414334429,-1.19448201549444,-1.16962580548299,-0.345712224935284,0.756398439119053,-0.438723815678533,-0.604855140421423,-0.539338321331612,-0.920416163568588,-3.76213499649228,-0.124726427084295,0.269595917591389,-0.0970398599090788,-0.319149958216808,-0.309515823594094,-0.53462153438826,-0.121392964467824,-0.0767493490319384,0.267175834033084,0.107381631624241,0.43011586777985,0.217752444663012,0.379099631556477,0.875754713177145,0.464197203717464,-0.0727736902999929,0.0537710571279179,-0.09914209198479,2.1868213089238,-0.750577559615396,0.615809354553361,0.0471312690663379,0.592745864465077,0.211625186655428,0.0577178009054908,0.055312141667556,0.767537751363453,-0.577066719815585,0.0794812495492511,-0.425843186063952,-4645.41504994579
-6.11662379388885,-0.285660336434354,1.07651725115231,-0.769864372859068,-0.323747383873621,-0.275648701626438,-1.19344603433081,-1.16742762099768,-0.345411427334525,0.757084979362069,-0.438727105661966,-0.604632986130283,-0.539085287873354,-0.920218237429942,-3.76424275250922,-0.12476633493679,0.269154891339696,-0.0970807733435426,-0.319723500409968,-0.310068895913099,-0.53554684563213,-0.124789748932299,-0.0768721721844078,0.268259136683818,0.107409562940155,0.430485937141718,0.217676202550115,0.378683122630133,0.875469965844262,0.464332639386165,-0.0723061493257539,0.0537610715534603,-0.0986659090204992,2.18779224152429,-0.751114663316883,0.614759932301348,0.0470512683105403,0.59170572604097,0.212111735859423,0.0579189168238407,0.054979118382765,0.765351493928515,-0.576446978333899,0.0794565682061762,-0.425355110904923,-4645.41430099962
-6.11648448204829,-0.285801174191288,1.07699884264032,-0.770000870052699,-0.323545686393155,-0.275203527518413,-1.1931075888157,-1.16600959153795,-0.345245090994439,0.75721865635598,-0.438544379530161,-0.604588502414678,-0.53912947147155,-0.919992845259958,-3.76458311252115,-0.124762363114813,0.2685727708442,-0.097014466304066,-0.319984520126539,-0.310193667716411,-0.535663013912002,-0.126296855760908,-0.0770719852928317,0.2686892414202,0.107406950706029,0.431145939846438,0.217705402796713,0.378448455258327,0.87513811090064,0.464656945266068,-0.0719387204422314,0.0537357810931292,-0.0983748797139915,2.18755940914931,-0.751525061949188,0.614545359466375,0.0469914276304343,0.591125792593919,0.212703481472738,0.058068302048745,0.0546731301952358,0.764020771072456,-0.575995558481138,0.0794639532489229,-0.425005324654092,-4645.41389220162
-6.11662883123568,-0.285878868494622,1.07719347633514,-0.769887763577669,-0.323575319576366,-0.275084735329022,-1.19317169407988,-1.16517135803296,-0.345173448611917,0.757045887971262,-0.438269571429882,-0.60466422129577,-0.539339319752643,-0.919785968085924,-3.76386981420086,-0.124733630651567,0.267941156368469,-0.0968909128770302,-0.320045398683986,-0.310064402989194,-0.535322495006516,-0.126666528703511,-0.0772779049318446,0.268746102244628,0.107389653151699,0.431948005133267,0.217821818527727,0.378311170485036,0.87480755186887,0.465069978546042,-0.071690858053726,0.0537035295107714,-0.0982083651305152,2.18671274661551,-0.751845933128196,0.61479351338825,0.0469446342027171,0.590839733542855,0.213336907094623,0.0581749895545704,0.0544081603790392,0.763245515893741,-0.575695315124835,0.079488747351989,-0.424752225828516,-4645.4136341678
-6.1168733714139,-0.285880845545961,1.07710883850215,-0.769656691862366,-0.323748742265041,-0.275240121541535,-1.19346118210025,-1.16506731999729,-0.345191651015639,0.756746791647129,-0.438053866513691,-0.604778028962958,-0.539565587107804,-0.919689859981301,-3.76277772816083,-0.12470213852708,0.267551627404296,-0.0967822877295703,-0.31994192260986,-0.309817037251265,-0.534835519238775,-0.126108084729776,-0.0774110682455915,0.26852855961589,0.107369561160395,0.43247934355541,0.217937546012485,0.378312189155275,0.874627764044891,0.46536183620438,-0.071612986516373,0.0536813460100953,-0.0982009844338356,2.18582810152161,-0.751961077883321,0.615242672469825,0.0469273481367972,0.590871166947382,0.213698829085575,0.0582162492170026,0.0542760671285394,0.763212411552161,-0.575629103168779,0.0795138928485261,-0.424676165788647,-4645.41351905495
