"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_evb_environment_disagree_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_evb_function_agree_b","gamma_veh_refuel_b","gamma_veh_range_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_evb_environment_disagree_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_evb_function_agree_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-4.71573956070093,-0.189326159220979,1.86338060155062,-0.477995157319999,-0.17363456877824,-0.141893474367131,-1.53985871880479,0.322226241841636,-0.183318717435185,1.34452302943707,-0.406938361416432,-0.858381039365079,-0.866340133384648,-0.88484024577282,-3.23829437383718,-0.109669055629672,-0.22133824500511,-0.0769797267279053,-0.24828107272112,-0.204335385161678,-0.299713677356099,-0.0198426538720681,-0.90730590982264,0.00960973906841858,-0.0289961781318936,0.0749679686957396,-0.180921352586166,0.361566138103283,-0.661628122899943,0.810203877504188,-0.592761198829504,-0.928848514341459,0.208763999473684,-0.0331492793443202,-0.128117582980469,1.17023481911632,-0.434881435187793,-0.320138224243422,-0.0118459427795532,-0.0663061113923771,0.528193259522102,-0.368408085078006,-0.441314245104077,0.940440548813467,-0.37279404954653,-1.1079198681237,0.158426713469166,0.0559666288411386,-0.458620352615197,-3486.61849026236
-4.7143376654994,-0.189351001884046,1.86393539712484,-0.477899398126199,-0.173228714436529,-0.141635185002828,-1.54047055011418,0.332926290286511,-0.182315789408233,1.34428601253794,-0.406473943845143,-0.856837770187471,-0.863850628528113,-0.882349495164551,-3.2399269878265,-0.109618576547714,-0.221238910925091,-0.0771313965634297,-0.248955313770438,-0.204544021709333,-0.299580497734283,-0.013758924038057,-0.908778144901143,0.0101028698022808,-0.0289002181823062,0.0717528619180911,-0.178801823152041,0.361418105853128,-0.653705939287577,0.810484276954147,-0.596647044269779,-0.931343657750608,0.209094234290707,-0.0335699460469893,-0.129693519946777,1.16991735938134,-0.43458129791683,-0.320091589621849,-0.0118554161066823,-0.0643338022413595,0.527046690105356,-0.36716872555025,-0.443680644423328,0.940568718583047,-0.373236479206696,-1.10621014514534,0.158578167532055,0.0559544481399292,-0.458574024475525,-3486.61564433448
-4.71260265708856,-0.189362396688154,1.86454197180943,-0.477810097578696,-0.172745772882469,-0.141169427038713,-1.5409459933464,0.337693723828021,-0.182105420352776,1.34493063925731,-0.406333256635701,-0.856264446003909,-0.864598041345213,-0.881191014217976,-3.24166525495473,-0.109572300722998,-0.221198054394523,-0.0773020502855516,-0.249497782092157,-0.204738304818676,-0.299562529212864,-0.0072506368337515,-0.90968466862896,0.010562680939469,-0.0289128840620591,0.0698904640834669,-0.178585303344957,0.361176171857375,-0.647208390217864,0.808580663654781,-0.599677741856123,-0.930093971537866,0.209399420531397,-0.0339249264666063,-0.131157033321815,1.1710547230037,-0.434252608868875,-0.320040826700579,-0.0118810194632587,-0.0625089165362943,0.525836877637537,-0.365805479951338,-0.446198395793676,0.9396570055569,-0.373912787931359,-1.10469770667879,0.158562893233751,0.0559127801682728,-0.458806866484437,-3486.61491057273
-4.71184850883907,-0.189393824763064,1.86517127866633,-0.47777825331807,-0.172740494869878,-0.141015552211765,-1.54150252686301,0.332465511434395,-0.183225712132679,1.34337144801127,-0.406692953793719,-0.857902549259929,-0.864580618268261,-0.88056635951301,-3.24189677591212,-0.10955571321242,-0.220988998279009,-0.0774566976120107,-0.249170109952791,-0.20487401519583,-0.299449967902945,-0.0110477548298005,-0.909626588625133,0.00967704408205349,-0.0289387941301958,0.0722774557760824,-0.178482325647763,0.36020830433269,-0.655062612151551,0.809328654873088,-0.598321580470891,-0.931077703851997,0.209258933622768,-0.033639967431281,-0.129897038673022,1.17373490445357,-0.434960800056908,-0.320723514792357,-0.0119202368823805,-0.0642665904687534,0.526830368375035,-0.367307233506283,-0.444762172132797,0.938236511844296,-0.375463881436832,-1.10643990981772,0.159875860850711,0.0559750840008383,-0.45876351024229,-3486.6145620231
-4.71074596862661,-0.18941817592193,1.86572061054253,-0.477744900583547,-0.172428926408083,-0.14080515268082,-1.54175364796548,0.34197950958691,-0.182055071301009,1.34416576442272,-0.406234679499479,-0.85600433812481,-0.863208519261933,-0.879358645454903,-3.2437470546218,-0.109520636012498,-0.221034149076049,-0.0775702446681726,-0.249781891458949,-0.204987899854589,-0.299621354413563,-0.00451848730135633,-0.910770308913773,0.0104732738265859,-0.028872414393445,0.0687718741569182,-0.177188078638778,0.360205253158103,-0.645720005380691,0.809003151280782,-0.601488989631306,-0.931908102258824,0.209671253868175,-0.0340568234824297,-0.131617696510317,1.17327689881964,-0.434409505895936,-0.320422771585038,-0.0119342044571009,-0.0621919702642212,0.525669040275898,-0.365925354663456,-0.447378549232645,0.938795157356183,-0.375251587591004,-1.10458217912697,0.159720742406632,0.0559308751397631,-0.458774855564028,-3486.6144810024
-4.71029834659496,-0.189423736695027,1.8659859838905,-0.47772765142102,-0.172408352058748,-0.140673663704755,-1.5419548165856,0.33721309853631,-0.182899865043886,1.34367075719261,-0.406528933889686,-0.857197290381127,-0.864378855494586,-0.879492139754201,-3.24377935084618,-0.109514994326101,-0.220959447690124,-0.0776395764096614,-0.24956227276392,-0.20503683910379,-0.299576817715854,-0.00633487287716305,-0.910502051455701,0.0100160214438169,-0.0289289010715964,0.0705020759812231,-0.17783896300572,0.359797816635529,-0.650209923867614,0.80852048807376,-0.600520672951985,-0.931085843001144,0.20958197253834,-0.0338936193161276,-0.130934636395523,1.17495971516989,-0.43474750265163,-0.320747753524729,-0.011957029558635,-0.0630896362032264,0.526113923514822,-0.366583912861005,-0.446675104608478,0.937677255193596,-0.376062033167988,-1.10547416256729,0.160252857030545,0.0559500387224713,-0.458844563343699,-3486.61397938741
-4.70952833756691,-0.18944535602634,1.86651780475927,-0.477710963768259,-0.17233814275632,-0.140549454015086,-1.5422418950717,0.337000016253198,-0.183119663137854,1.34318896088489,-0.406584694042335,-0.857520921479021,-0.864017968258505,-0.879019411046536,-3.24457117188822,-0.109499614547017,-0.220903109718836,-0.0777534095090861,-0.249550488586061,-0.205126226403701,-0.299631975357912,-0.00637080942070214,-0.910750281956096,0.00975544651750866,-0.0289363232372692,0.070814162372189,-0.177484973615599,0.359412701842053,-0.651728880388165,0.808642466723607,-0.600700150667278,-0.931787247972668,0.209626899557682,-0.0338571506514455,-0.130766613708852,1.17628951893623,-0.435004198458306,-0.320990054144487,-0.0119895490444468,-0.0634026847907196,0.526249861791425,-0.36691902366328,-0.44666314279537,0.936884114779009,-0.376717584025193,-1.10581827429297,0.160812504075799,0.0559604108186149,-0.458799163510101,-3486.61384963266
-4.70826181954673,-0.189474238245802,1.86732365403599,-0.477685561746104,-0.172183982036302,-0.140300064313654,-1.54262290151966,0.336546324779803,-0.183448562242577,1.34295288718485,-0.406677920061669,-0.857893131797005,-0.864373097030865,-0.878561917232362,-3.24591986486435,-0.109473386075866,-0.220854895438852,-0.0779239304884768,-0.249574878459148,-0.205241772117432,-0.299766313221444,-0.00525914464111544,-0.911091993943726,0.00957954632689932,-0.028964519683255,0.0709826853774654,-0.177400861204897,0.358824860284772,-0.652472003051608,0.808148401766667,-0.601111790816166,-0.93164280566251,0.209774478993945,-0.0338608403325859,-0.130794345810431,1.17835467265056,-0.435194228989323,-0.321253506201607,-0.0120368062384979,-0.0635330700517807,0.526262907118582,-0.36716221480138,-0.44713943991224,0.935779025843308,-0.377586174369528,-1.10602361429073,0.161513820694343,0.0559603104875855,-0.458836045084145,-3486.61375593301
-4.70746233263963,-0.189493840885345,1.86785681712403,-0.4776772743112,-0.172107348280885,-0.140183983866017,-1.54281439618019,0.337356409078106,-0.183454261007697,1.34280303109982,-0.406665843762054,-0.857890142280089,-0.864082819200145,-0.878218832522445,-3.24691476427006,-0.109458208753105,-0.220852411616766,-0.0780280642269022,-0.249623910954862,-0.205306601386452,-0.299896450447724,-0.00432896031118621,-0.911377384039496,0.0094929147235136,-0.0289750320611027,0.0707939966024989,-0.17708147101902,0.358612499081337,-0.652400858737801,0.80798961976475,-0.601597743454203,-0.932110845721216,0.209882085366221,-0.033884078643052,-0.130895227952965,1.17940750114091,-0.435319601903308,-0.321371323350194,-0.0120703581780029,-0.0634869370928529,0.526188534877389,-0.367210105332314,-0.447500191025566,0.93509584044513,-0.377987467944047,-1.10601348165186,0.16187498218302,0.0559539049258345,-0.458794478428574,-3486.61371917562
-4.70683534909656,-0.189510041305664,1.86829962365413,-0.477678007563624,-0.172058340166768,-0.140096206964282,-1.54292582338225,0.337898069507443,-0.183434541208451,1.3428606986022,-0.406655809580725,-0.857836040518469,-0.864104999509825,-0.878098851408879,-3.24777466006247,-0.109446234543145,-0.22087076889751,-0.0781083004138855,-0.249647933712743,-0.205335889341298,-0.300045323510634,-0.00335431958136881,-0.911580303238234,0.00949352197848303,-0.0289840476542607,0.070543633713841,-0.17696503145544,0.358380961889523,-0.6519098919961,0.807777889053596,-0.601904073366504,-0.932106026330501,0.209994894940131,-0.0339094039081536,-0.131039343928471,1.18028217596029,-0.435365307714584,-0.321429172732531,-0.0120970175549535,-0.0634136227356584,0.526120225009586,-0.367257201890744,-0.447887081423303,0.934686118136052,-0.378207257327252,-1.10595257289471,0.162126853035048,0.055944991153494,-0.458789535001122,-3486.61369873648
