"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","logLike"
-2.25590392144768,-0.182332356680544,1.40817582110706,-0.0509647535400284,-0.678205065315724,-0.658361737394714,-1.04783153791019,1.55832423575856,-0.468954883690193,1.10102940716508,-0.0750130276906599,-0.725108440306273,-1.728219198632,-0.0683215395497352,-5.703755280015,-0.128260583585732,0.721670680274165,-0.0429328904393031,-0.103917195701954,-0.127481566048341,-0.917663885362396,1.81930401942418,-1.10630447874943,0.64439038406906,0.0112347848075342,0.130891011539638,1.70307758843782,0.483844752158074,-0.910154144743796,-0.145807345374761,2.53580218009515,-0.921536138901883,0.8947506895665,0.011773366416491,0.480332371520489,1.50461970766523,1.0297346129163,-0.815353154213047,-0.28402466131816,-3878.30280260786
-2.2444232314078,-0.18116702652828,1.41502028533679,-0.0509188126924201,-0.673055262142313,-0.656240325499354,-1.05224662316548,1.45570907858454,-0.490186687314351,1.039837410924,-0.0763991560949151,-0.769341956068439,-1.78060594953704,-0.0257596228590797,-5.69623719686088,-0.128098212853004,0.721252108802969,-0.042904842860612,-0.105183361863706,-0.128463988679809,-0.916208250532052,1.80463435484581,-1.11352512005448,0.655445135586054,0.00988509530760537,0.137589321763205,1.71281756534998,0.476960606761536,-0.904005158299772,-0.139007037922448,2.53432229377175,-0.930097134044717,0.904035818998327,0.0106858937421726,0.486277153159034,1.51104945023586,1.02839532426887,-0.813341873264003,-0.280103210990325,-3878.2761267884
-2.23308103318771,-0.180019463551209,1.42063608414981,-0.0509004989331457,-0.667823761366017,-0.653852750204853,-1.05568155766303,1.36467841820711,-0.510194388412898,0.999019597651473,-0.0775031919725483,-0.801921564573956,-1.81988968789479,0.00122851274331031,-5.6876410528013,-0.127896651928526,0.72097277130569,-0.0428593482615494,-0.106415002727719,-0.129327167619319,-0.914697484145995,1.78760388206565,-1.11727527946933,0.667086507165059,0.00950207712093877,0.143888892366406,1.71978792577228,0.463706765146547,-0.899702448787843,-0.133537866497857,2.53179723541047,-0.93688807498553,0.913537327768729,0.0105054831669624,0.49289934255788,1.51395709416785,1.02213138831983,-0.812473733041822,-0.277588016212605,-3878.26072147151
-2.2266592633685,-0.179249499145136,1.42424268568031,-0.0509028093063154,-0.664354295415574,-0.652578484420567,-1.05833242607282,1.3150414475038,-0.52079958792019,0.979656471995184,-0.078383520826496,-0.82076814505787,-1.84471099555428,0.0124090619775299,-5.68119476482461,-0.127722282877255,0.720725023978532,-0.0428142205685108,-0.107362642326747,-0.130029758165139,-0.913380197356554,1.7756971853019,-1.12185308800031,0.675927273029584,0.00906017244006845,0.1511157312979,1.72600477273872,0.458658870613707,-0.897057599091196,-0.128998707297487,2.52965235964687,-0.943125208841123,0.920891920220721,0.0102142947598461,0.499539319243021,1.51806546808192,1.02077339469949,-0.812787169441329,-0.275054624738547,-3878.25284686689
-2.2217607186881,-0.178686465280966,1.42661907799351,-0.050917552884594,-0.661698313964945,-0.651192186978827,-1.0598622676852,1.28603232997013,-0.527511584965263,0.97674905478374,-0.0788334317648973,-0.828083898538504,-1.8571007276891,0.0123057962468427,-5.67599123856938,-0.127575528123484,0.720519990455766,-0.0427738000513622,-0.108030751477026,-0.130497581662879,-0.912372807411435,1.76609812422694,-1.12321228573398,0.682574329167068,0.00928894859297016,0.156046075222003,1.72927350833864,0.450385283230145,-0.896528554370843,-0.126518647975525,2.52808169223766,-0.946503652396119,0.926152808873927,0.0105276800010709,0.504778525265465,1.51910086685459,1.01661731725247,-0.813818638883773,-0.274234856849234,-3878.24790484988
-2.22026820343031,-0.178426811010592,1.42784461885602,-0.0509389151113035,-0.660370206625894,-0.650705988641462,-1.06086950851389,1.28261024797925,-0.528282861299781,0.984470715443383,-0.0790808115663156,-0.827581663529178,-1.86103671552966,0.00509275771922519,-5.67283201350441,-0.12746522213277,0.720314420530191,-0.0427435668044108,-0.108429280765494,-0.130774420521905,-0.911658529503938,1.76108004386859,-1.12496555347212,0.686555111034182,0.00950424439905254,0.1603178846453,1.73178001066341,0.447522473859105,-0.896702118891609,-0.125208388817162,2.52743568986449,-0.949355148094525,0.929374496616181,0.0107861791058447,0.509002996608769,1.52035588227237,1.01539595569837,-0.814952096611937,-0.27377266877675,-3878.24462867968
-2.22048815426589,-0.178388849121764,1.42822445889111,-0.0509606834105981,-0.659918219198289,-0.650370510206729,-1.06120001379632,1.29480342889405,-0.525848552716121,0.99937834213434,-0.0790643809094513,-0.82178264677057,-1.85731627342302,-0.00617733383256484,-5.67136816213365,-0.127400225935924,0.720127367782567,-0.0427255004722921,-0.10857318272862,-0.130868154289649,-0.911276548166951,1.7589958459789,-1.12507733345851,0.687976384857962,0.00993371888164634,0.162467866000481,1.73234474987929,0.445051500078905,-0.897741774808897,-0.125232531983193,2.52735251432795,-0.950221940492165,0.930395892824483,0.0112102744100473,0.511426694837523,1.5201059207142,1.01402653452203,-0.8160028436844,-0.274203539553932,-3878.24251905896
-2.22236260123905,-0.178535728602475,1.42800275794697,-0.0509772398029976,-0.660289353479915,-0.650582614761485,-1.06119309939914,1.31584242795287,-0.521343502217317,1.01430645053349,-0.0789259144668741,-0.814028397972847,-1.85009876153317,-0.0167623832071642,-5.67149115363932,-0.127379487051784,0.719973498357177,-0.0427209965846618,-0.10851514584039,-0.13081291899096,-0.911194479839408,1.75969189674485,-1.12492357591807,0.687406531103017,0.0102840092254646,0.163104290058834,1.73199645676423,0.445507366522132,-0.898485489773536,-0.126059981794409,2.52759262232584,-0.950209395482523,0.929924180670318,0.0115271876616887,0.512222729607148,1.51959846089944,1.01407919414382,-0.816369537395915,-0.274878272390795,-3878.24137529887
-2.22443639955299,-0.17874701419419,1.42756315556086,-0.0509854495410501,-0.660977363513297,-0.650845194194804,-1.06096645136683,1.33600537546029,-0.51713117754892,1.02562978892493,-0.0787251988210954,-0.807693651979638,-1.84228826153412,-0.0240926376858612,-5.67246427044541,-0.12739349344713,0.719862740447066,-0.0427260693158881,-0.108353791573434,-0.13069242517975,-0.911307991420808,1.76161455145353,-1.12410245777571,0.685632589707356,0.0105357771074902,0.162358356656756,1.73081690040885,0.446544425762226,-0.89912077044069,-0.127139400785776,2.52794215562464,-0.949201208170544,0.928466794500244,0.0117350306888282,0.511667381180896,1.51865235527835,1.01442584425501,-0.816361792687748,-0.275626035006636,-3878.24079741467
-2.22616055161608,-0.178934067907918,1.42718599383509,-0.0509867224510182,-0.661656950939523,-0.651201920205264,-1.06077101159163,1.34937746417096,-0.514238401705469,1.03085542892891,-0.0785648373029128,-0.803596828597512,-1.83684995742848,-0.0272147998568375,-5.67358759978321,-0.127419367836909,0.71979438740968,-0.0427349131832254,-0.108186496472346,-0.130566364116954,-0.911481883907174,1.76359625461901,-1.1234291708021,0.683895006048224,0.0106401674639287,0.161212283661833,1.72975878412725,0.448102156881009,-0.899190909529571,-0.128059754140995,2.52814628045636,-0.948190028866664,0.927118779282005,0.0118039556412752,0.510619176989783,1.5179536843683,1.01504239209281,-0.815946784250755,-0.276150753544847,-3878.24052017149
