"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_ev_neighbor_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_veh_refuel_a","gamma_veh_range_a","delta_c","gamma_EV_rangeanxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_veh_refuel_c","gamma_veh_range_c","gamma_suv_a","gamma_suv_c","logLike"
-5.28924741525067,-0.22570435262672,1.15359630790231,-0.558559332082501,-0.390570728522591,-0.359007302018854,-1.21346349286848,-0.845323958143498,-0.264852731661055,0.742755348742276,-0.411350324867682,-0.656552419404784,-0.615990706085109,-0.871341826229363,-3.44225515889562,-0.101957043502067,0.0608945272805037,-0.0301585558846433,-0.0785691807109917,-0.12637578275866,-0.445680136061136,0.341765362055296,-0.231327583439853,0.0126764453659141,0.343037596890359,0.327006610815612,0.994348141366718,0.863065766117433,0.0465340263507592,-0.124563978229463,1.31439897030867,-0.931458329590237,-0.0287174193284473,0.443008018943563,0.279315348454759,0.398891025697276,0.651217521650018,0.082902065869582,-0.346332344665714,-0.187474164634604,-0.475709756649541,-8206.14509551193
-5.32022207245216,-0.227020773410355,1.15632440311622,-0.560142755424355,-0.389816291636237,-0.358155157136193,-1.22279384106122,-0.810597088924885,-0.262813993253394,0.758701033193075,-0.41089194820845,-0.654155584735444,-0.620153119878156,-0.867216992250006,-3.40699729441302,-0.104769266030428,0.0897212407944935,-0.0337422604724726,-0.080327067317162,-0.125324677859742,-0.441693015082624,0.300418455473237,-0.218681770021199,0.0142019559604343,0.339193501210929,0.32557768032875,0.987266324128276,0.848495561893109,0.0469713238411895,-0.121613556106751,1.27220098577163,-0.922315682816622,-0.0266909662436398,0.46085944821725,0.272912070869255,0.385428137390967,0.658063563838285,0.0836692490982536,-0.346058484985891,-0.17004872270661,-0.451043158914166,-8205.79691174806
-5.335957207925,-0.228563994314677,1.16430861028408,-0.56144207349745,-0.388549331374257,-0.355812118579995,-1.22975066116227,-0.81367628839769,-0.2638651185804,0.762697558840303,-0.413202427360737,-0.650972031185454,-0.619858483758063,-0.864088544207095,-3.40770677167476,-0.106066848193656,0.101996125967656,-0.0378863334749344,-0.0854321023053645,-0.129868352158581,-0.44131286702673,0.287514702112007,-0.212912234165517,0.0140403305829695,0.338498649382509,0.321748688831415,0.987657761440437,0.84274443141072,0.0472561960841708,-0.120487852306137,1.26852945095027,-0.919008288901359,-0.026410940022018,0.46761005710619,0.270954927973465,0.378772243360986,0.660860270509015,0.083742834941434,-0.346731443259903,-0.17014932815731,-0.442534840066257,-8205.68693157249
-5.3430327555964,-0.229581686742419,1.17057962776958,-0.562111871919945,-0.387127302895403,-0.35362414406434,-1.23380166956554,-0.829101732231413,-0.265593496380164,0.760824820002403,-0.415722033258905,-0.648940889270529,-0.618840038586274,-0.861638650077135,-3.41703511444547,-0.106431317715396,0.105448169419563,-0.0405119974612076,-0.0901301867650903,-0.134420740616558,-0.441664763887133,0.288550580412802,-0.211035966014069,0.0133288199226877,0.33922205026402,0.318467037263902,0.989651737851646,0.841861358156882,0.0473397125761765,-0.120424472012025,1.27737233742073,-0.918709844442984,-0.0267465462958842,0.470188724606862,0.269862417524307,0.375333264134702,0.661992634051601,0.0836220749621343,-0.347759162397523,-0.175187206677424,-0.44296989380603,-8205.65084515821
-5.34448046532289,-0.229834445209308,1.17244481044034,-0.562118219585549,-0.386176058126788,-0.352514938658437,-1.23489152657773,-0.839869127259662,-0.266448011565205,0.75779170204793,-0.416926546800811,-0.648742645677704,-0.618489089283878,-0.860239812622524,-3.42232583138799,-0.10626829814571,0.104423338441721,-0.0411246312560573,-0.0920966534959945,-0.136565839677785,-0.441477852475023,0.293288911836508,-0.210770434592659,0.0128029788167327,0.339918271751162,0.316813360053773,0.99082527278974,0.843282186879328,0.0472960196800201,-0.120668856165953,1.28410349262611,-0.919050119072753,-0.0271246314521761,0.469456498280699,0.270299135515521,0.374776302330816,0.661719427492173,0.0835132943100404,-0.348354167170526,-0.179313741595388,-0.44539989540031,-8205.64279426019
-5.34475485152582,-0.22975544637414,1.17220339649181,-0.561937797767944,-0.385574339313542,-0.352084357027616,-1.23499452169865,-0.845370070366097,-0.266737067483541,0.755519928201093,-0.417305892983751,-0.649198324577856,-0.618713087861793,-0.859393176505838,-3.42358349731609,-0.106096437122444,0.10309253476929,-0.0409589423194592,-0.0928409030450632,-0.137260920275859,-0.440894019357086,0.296386233585626,-0.210579684914397,0.0125513364419756,0.340318734753882,0.316201102867563,0.990937986585492,0.844433082179265,0.0472318848539941,-0.120882444714372,1.28611568935977,-0.919214534801895,-0.0273064783059991,0.469168987426454,0.270375055634731,0.374467297690839,0.66172845340118,0.083497535155421,-0.348604416705932,-0.180882014502876,-0.447008589558093,-8205.64080879209
-5.34516978277016,-0.2296376849612,1.17148305682479,-0.561775994412599,-0.385250441460138,-0.351933713204495,-1.23497312275487,-0.84688179268618,-0.266684328636145,0.754411239333287,-0.417279721430451,-0.649717075074666,-0.619097175430652,-0.858910602931657,-3.42273284028208,-0.106009684508968,0.102448940515946,-0.0406954164055339,-0.0929905035522413,-0.137396247988949,-0.440201924651324,0.297411698390849,-0.210177196528247,0.0124709680992133,0.340399062670978,0.315985381049811,0.99072245213305,0.844997214627992,0.0471872308913577,-0.12094523228574,1.28563165142308,-0.919135138168523,-0.0273638754075058,0.468883786421719,0.270727328006171,0.374272671036344,0.661667259119841,0.0835160356985186,-0.348661679052564,-0.181199927434261,-0.447343246946033,-8205.64025710957
-5.34566501158946,-0.229539840775282,1.17084081483953,-0.561660626376298,-0.385035135431954,-0.351863770489942,-1.23501012417696,-0.847223235638144,-0.266588150704626,0.75385807307595,-0.417158355002793,-0.650100761346683,-0.619457519739869,-0.858631561311219,-3.42158575359498,-0.105989197682902,0.102235964474681,-0.0404950057055258,-0.0930910902021411,-0.137407620606789,-0.439580129637733,0.29748458956789,-0.209752009019821,0.0124570595353021,0.3404098948663,0.315938134241222,0.990412396119332,0.8451379741606,0.047157689511504,-0.120958662481798,1.28437084832882,-0.919007976489797,-0.0273527907058859,0.469061653716218,0.270838557901426,0.373877735753592,0.661775169122153,0.0835522332458148,-0.348679336455219,-0.180918270056625,-0.447225600411514,-8205.64004686795
-5.34604032244647,-0.229497695329259,1.17051369615371,-0.561603410833802,-0.384935324643008,-0.351822035768893,-1.23510088491674,-0.846946321865246,-0.266502506369494,0.753744318729856,-0.417041725714078,-0.650275192072309,-0.619642601677696,-0.858547833053585,-3.42079483196037,-0.105999166644567,0.102272972749917,-0.0404173595085018,-0.0931381193866226,-0.137424083898134,-0.439177646043522,0.29717499526989,-0.209451497461626,0.0124681341926511,0.340383127131483,0.315919257580647,0.99023932374173,0.845081534252141,0.0471457568359946,-0.120933016639744,1.28339381946725,-0.918919637931526,-0.0273286094874648,0.469168972108259,0.271017808528314,0.373601200891313,0.661797142125587,0.083577351710283,-0.348681659877559,-0.18063168705865,-0.44689490396569,-8205.63997474759
-5.34619827404341,-0.229484651185573,1.1704067760718,-0.561578773512429,-0.384891624535299,-0.35179605788253,-1.23519191893726,-0.846714473534475,-0.266471097215611,0.753786605193143,-0.416969986231454,-0.650303601205466,-0.619692788691969,-0.858574387713536,-3.42050198063704,-0.106018327812176,0.10236101624346,-0.0404082105906109,-0.0932026065116911,-0.13745439729793,-0.438970385944957,0.296891928859541,-0.209314299870375,0.0124821009309488,0.340375323957521,0.315927259901124,0.990168214744662,0.844955966848583,0.0471425384399814,-0.1209118583629,1.28284009187186,-0.918905162993334,-0.0273030680966928,0.46935348116196,0.271071938251831,0.373382386262481,0.661844131652915,0.0835941007012753,-0.348690297371538,-0.18040462746714,-0.446650771980704,-8205.63994846903
