"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_hhincome_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_hhincome_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-5.74564611257361,-7.70244801852933,-3.22848401727377,-1.0742476633558,1.52957135948441,0.104995655517917,-0.258870062630011,-0.184455373765969,-0.06612666894082,-0.532595383065841,-6.57128261547757,-0.375587681506478,0.34213546541867,0.653852992552547,0.34054155024663,-0.0892612038304029,-0.157433952294342,-0.169932960739434,-0.0392020713565082,-0.5644037142537,-6.69494702339791,1.08677986697991,1.09415629523866,0.402722408575555,-0.190380177332157,-0.272916123595467,-0.183018873419162,-0.0866871541665182,0.0664676086860487,-2.69505478329859,0.00160758490513056,-1.24303563803107e-06,1.56333981774625,-0.456468870558801,-0.941775023734506,-6.34993778821214e-06,0.847701338294758,-0.194068089570195,-1187.09232837802
-5.71260720877019,-7.68268942381114,-3.18314994751626,-1.05028777078032,1.53025544478335,0.0988429521602333,-0.255040508535859,-0.185132071047131,-0.0656842050546131,-0.53132451798793,-6.56045341686607,-0.367485157741295,0.354928379422675,0.659903546743282,0.342342732036404,-0.0905150146153561,-0.158725007290283,-0.171087431982454,-0.0398568860114179,-0.554997099190651,-7.06159487469322,1.1514502372289,1.13426722296702,0.345237979173993,-0.212109946896651,-0.302880002504797,-0.17713751917234,-0.0657305993548463,0.0621586103021598,-2.85952688098593,-0.0211114487011952,-1.30468885118151e-06,1.57911642406355,-0.454914308551737,-0.859067925441382,-7.21529702390405e-06,0.800976451510788,-0.148696207585229,-1186.71219581114
-5.66001963069804,-7.64077732786399,-3.15339724127596,-1.03325472851478,1.51829856554636,0.0967940044247844,-0.250594143255863,-0.185133654596949,-0.0645370039000109,-0.527650144806063,-6.54981343175595,-0.357928276736791,0.368030222378283,0.666740552955579,0.343982823326148,-0.0922627731908089,-0.159780803755024,-0.172255458531465,-0.0404240513781312,-0.546826573990016,-7.25354425173051,0.746311434375986,0.917776220265859,0.114047766802503,-0.0721584590134083,-0.227920182349307,-0.144394987412388,-0.0447895019067964,0.0517607047619162,-2.9549934830664,-0.028180728881288,-1.39818382293649e-06,1.57303537209511,-0.47317627757141,-0.721456752757175,-9.47337057490211e-06,0.858712065876594,-0.0953104609215811,-1186.67516413875
-5.62436846611838,-7.60620606781102,-3.11692248434098,-1.01281100981015,1.5133474030583,0.0940010098094315,-0.247379647675863,-0.185816767414197,-0.0640984463750717,-0.523457654371851,-6.53683514997889,-0.348790322293439,0.383348612138318,0.669093284446568,0.344421034449283,-0.0943887069608703,-0.16089320723423,-0.173150961717956,-0.0414588400544848,-0.537020845055253,-7.6016458283021,1.03766762284993,0.922684452401992,0.288778089858639,-0.209455211374143,-0.248519516578439,-0.167111657413691,-0.0296163223808149,0.0576083128005606,-3.12966148955547,-0.0438436089462689,-1.43863814996099e-06,1.57785396830108,-0.475192431786935,-0.739896600533422,-8.56834360999571e-06,0.78367007769053,-0.114819313887054,-1186.39526314203
-5.59522544337,-7.55523612211447,-3.0928045105997,-0.998855475192396,1.49641646993757,0.0924966492375215,-0.245590930246191,-0.186025495530972,-0.0637294408122972,-0.519736524301075,-6.512305476125,-0.339791766230243,0.391749317959508,0.673614300447694,0.343396204907013,-0.0951773436897318,-0.161541939074262,-0.173131034790867,-0.0421693993150362,-0.528622595286368,-8.13671705685883,1.14218445799556,1.03182516604844,0.190284886773686,-0.252464691593649,-0.328109320223072,-0.185883000928723,-0.0424552758356674,0.0651295612014473,-3.26803782115581,-0.0576527126178105,-1.43569528423085e-06,1.57241034118023,-0.483939035207782,-0.697720021100207,-9.11458181742687e-06,0.81766893296851,-0.129464796515908,-1186.29337864145
-5.57648256867975,-7.52679184986452,-3.07528289278864,-0.992754491240263,1.48746801584759,0.0899093592614413,-0.244148061740572,-0.186033963984005,-0.0632651686654751,-0.517931651482341,-6.4961190065739,-0.334791454117835,0.400675072978667,0.675208806504984,0.342903121441792,-0.0972810508257544,-0.161941281813133,-0.172833474003027,-0.0423589977009843,-0.524441936368277,-8.21285162452444,1.17163424394962,0.819500293137355,0.202668865543921,-0.294966000351232,-0.250974796227388,-0.20066268412825,-0.0459325667857514,0.063292401884988,-3.25085330182831,-0.066811492862981,-1.42381650766004e-06,1.57888669681255,-0.493006079401118,-0.661812008303408,-9.54952365330986e-06,0.811121366480157,-0.109808857251142,-1186.19364981475
-5.56582766990956,-7.48398949476763,-3.06232911591313,-0.989613113539613,1.47041237102215,0.0882475964348182,-0.243535734373354,-0.186296198402164,-0.0629565682165576,-0.515850605606104,-6.50495763357875,-0.330089355121495,0.405771610963581,0.674161336619789,0.34190396338357,-0.0977536557310437,-0.162662110975793,-0.173145248015071,-0.0429382889153152,-0.522492941886185,-8.07044675899615,1.03567780364514,0.557089048144059,0.263321233162427,-0.252077850673136,-0.168380309862922,-0.186548091827298,-0.0466003844378266,0.0624606696564922,-3.20838471219886,-0.0752207456293684,-1.38802186706694e-06,1.57995392113734,-0.505854463357017,-0.646439317856211,-9.62903225269376e-06,0.853143345792317,-0.141092380144524,-1186.11070211607
-5.56686759991885,-7.45888488140317,-3.05725619953185,-0.985891874919385,1.45975078360412,0.0891372605550752,-0.2436421504254,-0.186543121153288,-0.0629685326759537,-0.515361024313808,-6.4925615869185,-0.324936675118722,0.411020519735345,0.677609042773656,0.341398634761343,-0.0980000117902712,-0.163361801511786,-0.172952814506472,-0.0432687838265515,-0.519105396676096,-8.20761555546522,1.00531979029013,0.5132513882479,0.22343030261297,-0.256593915832167,-0.16448538232552,-0.192643519779347,-0.0466696376673346,0.0660047603818981,-3.25438322850775,-0.0801743408561124,-1.38200590559596e-06,1.57531363138808,-0.518486908980518,-0.634117438017246,-9.90521432773556e-06,0.882676081765959,-0.0977912519360618,-1186.05695634578
-5.56706275481113,-7.43416402523197,-3.05173021274645,-0.981173836150715,1.44938470687711,0.0906064905360769,-0.243687678837325,-0.186601311486129,-0.0631304488552504,-0.514458120414575,-6.48389933176574,-0.317839464458075,0.415802396599891,0.679844455512069,0.340236671273038,-0.0979584733088331,-0.163941395980318,-0.173040944133084,-0.0438850117866463,-0.514498206032893,-8.41770738566869,0.965242421671932,0.468167497940621,0.203169378425175,-0.245356439046272,-0.162840697540752,-0.197987080178278,-0.0482479987820456,0.068885762144749,-3.31686948743104,-0.0900654686665128,-1.37681040350492e-06,1.57364828889741,-0.527720630617502,-0.578320453747859,-1.06810027639443e-05,0.902865463658477,-0.0692644620068223,-1186.00612127539
-5.57071706394804,-7.40105374936278,-3.03583211513236,-0.975069483661409,1.43558086750555,0.0894699630379726,-0.243678937731247,-0.187085698084454,-0.0633546546520507,-0.513970498143114,-6.47270188982071,-0.307424381025065,0.424868450072198,0.683097468708431,0.338060874297953,-0.098738097936171,-0.164798974701039,-0.173185554712148,-0.0447316547801362,-0.508358851285975,-8.67032124764616,0.938924141680339,0.417241225938548,0.207774721793608,-0.223792298694677,-0.160373608431122,-0.202256547230313,-0.0483770532420512,0.0733571822859588,-3.40658268831311,-0.107107663787682,-1.34128592910534e-06,1.57557043976315,-0.540129227947026,-0.545243389992682,-1.1198044116294e-05,0.939381636624593,-0.0313681115730239,-1185.96384802159
