"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","logLike"
-5.67944949238648,-3.53484888623272,-1.48561024000168,-0.990069745974299,-0.301260839213212,-0.0633041430937018,-0.857272867311539,-0.978997502120518,-6.8257927872688,-1.0509519803253,0.414286235107805,0.28505229110613,-0.143483597430571,-0.10910890687571,-0.986570213607136,-1.1568330926646,-0.0967113982785337,0.695815500504669,-0.533369196380386,0.018379491082646,-1949.08672242221
-5.46663315495582,-3.82248311977173,-1.4814392643516,-0.608482123332284,-0.284617109161807,-0.072280668622558,-0.752699468982173,-0.967401707214059,-6.29144843835101,-1.01345484296179,0.296895910026454,0.246685581644992,-0.146553321425638,-0.110015088947475,-0.877754831442928,-1.0656248436658,-0.0888650110699381,1.07880504496123,-0.456240515230605,0.066026399507055,-1942.05093594665
-5.58187803622108,-3.81015884712177,-1.57823782447425,-0.443660916184985,-0.273503603134885,-0.0812293215553525,-0.839387144376836,-0.968463366319722,-6.43101645479914,-1.00126965205368,0.352738654196317,0.304549164976381,-0.147634110063153,-0.11018917469725,-0.862801869151335,-1.07534693697267,0.109053233825851,0.987123864948663,-0.427103486141152,0.0413113499694838,-1939.85384848957
-5.45916122413206,-3.87042344482829,-1.5651905225122,-0.310538056801312,-0.273814287148958,-0.0739332026028595,-0.804780266538798,-0.952289264319738,-6.48902554475721,-0.960044644175361,0.362157447714727,0.294918118522159,-0.145733984956829,-0.109501822513263,-0.851717764908091,-1.0780069620144,0.0078750932552019,1.06768460324088,-0.423076326712378,0.0492438602562151,-1939.40075851949
-5.48711282499504,-3.82463765984027,-1.58074820749023,-0.33043646671448,-0.272887588009865,-0.0774546453901777,-0.819545665773625,-0.954019373329492,-6.54206696014505,-0.942435946740886,0.369597055574942,0.294007560042804,-0.145491439294266,-0.109390724906584,-0.852914548818787,-1.08225562241865,0.00813867793749943,1.01027913842087,-0.428397736270145,0.04888433573448,-1939.27035679944
-5.43890113130718,-3.83341254473199,-1.5710089436149,-0.284932389371528,-0.273134694230835,-0.074613254484308,-0.800822231183535,-0.952828755431555,-6.55595721805425,-0.929167998886829,0.36955491892421,0.283996421043533,-0.144449183262633,-0.109660532891701,-0.849449648806629,-1.08023321062544,-0.0129308880595703,1.0401383304082,-0.421081170245346,0.0498818098738524,-1939.21567954176
-5.45934795083463,-3.81292664023416,-1.57711860906989,-0.297696196673836,-0.273353881875806,-0.0760637071779629,-0.809104189885886,-0.957075332029648,-6.57477424258231,-0.924408498461442,0.371096339120239,0.281897401434926,-0.144605634266851,-0.109730529071777,-0.848866335720526,-1.08120983114994,-0.0140638314648825,1.01094601109113,-0.421663213590719,0.0508515496791766,-1939.18430926925
-5.44209475701315,-3.81786554610591,-1.57343535507967,-0.276521116480372,-0.273629623920991,-0.0746275162022426,-0.801241986440446,-0.959643598533128,-6.58071522518509,-0.920899033141958,0.37016662551804,0.27631163326397,-0.144208909542745,-0.110007144607097,-0.847337689207156,-1.07945572957798,-0.0205663318845816,1.02254826010335,-0.416043572958021,0.0512502131729352,-1939.16251875415
-5.45611166198891,-3.81061927157371,-1.57756890954147,-0.281138914897228,-0.273902318459372,-0.0751739524753745,-0.806179224773354,-0.964137086501418,-6.59023588528849,-0.919962039246739,0.370260483409104,0.274470769920311,-0.14436718656905,-0.110121176605542,-0.846898364290945,-1.07949165867469,-0.0207156602419203,1.00712334411803,-0.414929199226358,0.0519909010095617,-1939.14601460162
-5.4513821581895,-3.81507800792277,-1.57717236112356,-0.269325702359371,-0.274160205268069,-0.074376027055645,-0.803191171986037,-0.967479196511097,-6.59401990232966,-0.919075647994142,0.369388232320339,0.270996176991027,-0.144217902777262,-0.110322012100854,-0.846030511138651,-1.07827065137945,-0.0232289503269137,1.01110607241087,-0.411016069911721,0.0523554951494989,-1939.13300396188
-5.46093841165851,-3.81349978948028,-1.58043558454722,-0.269758030910989,-0.27439987915596,-0.0745327067479432,-0.806139364576869,-0.971456943620848,-6.59956508310919,-0.919101243461817,0.369082136551206,0.269347628765982,-0.144324886096245,-0.110434070212965,-0.84564045767,-1.07797004850725,-0.0230340240891957,1.00252078862453,-0.409446262870251,0.052876858651425,-1939.1225900567
-5.48952702892872,-3.82151560099078,-1.59531565551501,-0.229942604876572,-0.276386318730852,-0.0725944714230169,-0.809721060825063,-1.00156720545661,-6.64040917382599,-0.915132197696576,0.364957979507508,0.249632381955176,-0.144304540549811,-0.111635788191234,-0.840643536446116,-1.0724795822444,-0.0310198005122409,0.975381973482579,-0.389070089724058,0.0566014489274413,-1939.08467571217
-5.48584874112213,-3.82520368928217,-1.59419239598725,-0.231966896908032,-0.27596588691994,-0.0727669882517258,-0.808890559697632,-0.998647517468833,-6.63270959470896,-0.917427974381277,0.36467880776267,0.252106924671563,-0.144416126561841,-0.111504575737142,-0.841378924364466,-1.07272448039758,-0.0282813216321478,0.97942706689276,-0.391098490477842,0.0560402337816315,-1939.08301738606
-5.48768789685308,-3.82944629676789,-1.59552329136962,-0.231697522458852,-0.275878260876142,-0.0727366677773183,-0.809344395302729,-0.999210805361866,-6.62986885952797,-0.919566572072128,0.364137822856402,0.252831144632836,-0.144548895280124,-0.111499076789117,-0.841620557411374,-1.07263741890845,-0.0260005018418323,0.980404504502279,-0.391028696560109,0.0559137590165753,-1939.08223286382
-5.49347870297631,-3.83688486940323,-1.59900223877465,-0.231228578389134,-0.275931568429834,-0.0726105362374501,-0.810809863602642,-1.00128504336056,-6.62610911911789,-0.923096838875842,0.363197152134136,0.253503515154012,-0.144750537894681,-0.111514784003127,-0.841837298817548,-1.07241628221344,-0.0224412590327867,0.980930228962758,-0.390142770382058,0.0558950528804156,-1939.08148772944
-5.49651020220568,-3.83886702702072,-1.6007084679415,-0.2310612766111,-0.276065868587558,-0.0725493897189901,-0.81150901714673,-1.0024535983726,-6.62566152647488,-0.923838585118937,0.36299263512304,0.253302473649765,-0.144770630791098,-0.111531281209486,-0.84175571991657,-1.07228477865259,-0.0216216825305644,0.980409864965052,-0.38955383033652,0.0559914645584737,-1939.0813356186
-5.49923116433477,-3.83994771373666,-1.6023207801982,-0.231042920563842,-0.276244570392911,-0.0724956391507424,-0.812077731093322,-1.00348513986939,-6.62571113871975,-0.924081928813317,0.362919444414003,0.252924070602841,-0.144749091063723,-0.111547524031488,-0.841601822604831,-1.07215382581191,-0.0212735786750264,0.979644526647709,-0.388974878579172,0.0561277091774988,-1939.08125642997
