"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","logLike"
-4.76565101012727,-2.97235835741642,-1.22340334450607,-0.196158034025557,-0.205013131071949,0.0467433691473418,-0.401041275341134,-1.58566799992114,-6.51417181337715,-0.944385819470915,0.238977743355735,0.312025407413051,-0.11948976924376,-0.105549232520957,-0.890091157832946,-1.1377927641841,-7.40102858727484,-5.79806677371842,-1.43908653232081,0.311331539120728,-0.346005883153544,-0.150556507419209,-1.6816006685694,-0.75652812412043,-0.458392277434364,1.01191462224118,-0.461211532080151,0.261305535757243,-2.01866762482854,-0.464121289744339,0.214989549741427,0.350088632733378,-1914.8103108517
-6.34371323922347,-3.68073773058669,-1.665435678368,0.205073665271233,-0.202066809503683,-0.02077580571531,-0.469699198874331,-2.3693541387961,-7.04885072623152,-0.596346391424686,0.538150092300413,0.367637632812551,-0.117773433911271,-0.110101135004305,-0.957915466653309,-1.19787221578892,-7.04146702771103,-7.01294043358775,-1.51023894589042,0.74721764082178,-0.340663201582869,-0.13940931730418,-1.51842227342797,-0.674519913358738,-0.571582764702931,0.627747439770338,-0.13406092058902,0.312086178835467,-2.32701313359607,-0.482670860314254,0.679793415857577,0.420045178252922,-1911.2570575854
-5.63163540372025,-3.35012385512929,-1.46908450456234,0.159030432923497,-0.22166537470048,0.00834443290481285,-0.304492987234409,-2.09516297688271,-6.53763356163533,-0.64315678644743,0.433351143122174,0.277347925587129,-0.129396914625274,-0.106066094505091,-0.852410765001784,-1.10067107907981,-7.21916466032882,-6.28295970079979,-1.42928520195469,0.599786459045894,-0.326490500736027,-0.14685964111721,-1.47893777053256,-0.738016191329317,-0.615357665108303,1.18669398027676,-0.281506496572539,0.200619368693273,-1.89768967786557,-0.182821314768046,0.848967902412229,0.271713996362183,-1900.09737615459
-6.353805596834,-3.20965065420017,-1.70741806168196,-0.320899367316775,-0.252641600360173,-0.0254332093829812,-0.614525527168552,-2.12139757864152,-6.52783238243413,-0.653459371178391,0.433868897923539,0.309477382753771,-0.128882138132559,-0.106249637248344,-0.87159892277466,-1.10985873689969,-7.86064208842889,-5.91735357268205,-1.35412609678795,0.424377242065262,-0.345703399932383,-0.155911036779645,-1.52731649577718,-0.832407995768448,-0.347829686914118,0.770311366965104,-0.325212558614648,0.162985583554056,-1.66988546115891,-0.122843362657951,0.608761824136648,0.212458936825763,-1894.14217708259
-5.85073756975762,-3.55657508018824,-1.61656837193377,0.205421027946827,-0.272226075493584,-0.0153315079529988,-0.422334638183556,-1.94025171167934,-6.37367860942829,-0.649222875035492,0.413181080249775,0.287610968372807,-0.11841118577784,-0.108892096450803,-0.857726552063938,-1.07907757394819,-8.30408296683699,-5.66829055812246,-1.14759472714703,0.310731335169068,-0.353775632289954,-0.1527477687396,-1.48628669554568,-0.938836466887501,-0.336934512472837,1.31731337514376,-0.339010931778672,0.118567498749543,-1.64179638857542,0.156295175311555,0.690887722396207,0.189178440231494,-1887.92634529743
-6.39616339686895,-3.01771093700761,-1.90944739798907,-0.565539894734971,-0.281428781224391,-0.0392521541306135,-0.781771348911874,-1.90483794045819,-6.31377243459588,-0.632222975547818,0.395899716154526,0.31894666398064,-0.118056352115228,-0.102507108233332,-0.86349154256852,-1.08778775547363,-8.33101650321547,-6.13689468502455,-0.843268981434974,0.584486581478413,-0.331755851039227,-0.151170672906687,-1.28495344708713,-1.04772319611755,-0.196484253098016,0.886368487326595,-0.387923902083576,0.121770450650886,-1.24647352853409,0.110826860329121,0.462212745835035,0.164776645073807,-1883.35235829227
-5.96499688463851,-3.52019777383855,-1.8160364592416,0.108968622408101,-0.314837152117289,-0.0298369841039804,-0.46024728045457,-1.82952860956524,-6.16084827668228,-0.615348771563439,0.359843347718774,0.299154730220372,-0.109485076238098,-0.105929017650256,-0.850654258437058,-1.05100679288848,-8.8087845325177,-6.721446628042,-0.749690964351253,0.875989742874248,-0.315644912965631,-0.146723126661087,-1.43732760323874,-1.1397467720599,-0.164861346830467,1.39279413238435,-0.381367980317902,0.0814504175386524,-1.13168724763354,0.255115773106332,0.510626406977291,0.146632855626884,-1879.35761347535
-6.20864060675236,-2.85143768108447,-2.0491917170697,-0.779082947142669,-0.307121268849405,-0.0450242170415997,-0.765508379292057,-1.7245375045323,-6.07022800377715,-0.57560382984234,0.359610334537336,0.329451388848832,-0.113107734927901,-0.0988833771990924,-0.825604540119922,-1.0638724614714,-9.06914832773818,-7.49317583510912,-0.591505477252223,1.33760922640989,-0.302067182074678,-0.156694553483002,-1.417300884874,-1.25577556509532,-0.14775009755543,0.95493545382614,-0.445240120709547,0.109312229542237,-0.952510150793007,0.14244885935275,0.278027403120409,0.152028240821594,-1877.18153508346
-5.84125046124921,-3.50468617742641,-1.93490886363597,0.0228413266424888,-0.332483289854413,-0.0394149255041755,-0.417334293129212,-1.6928880704856,-5.9510751885121,-0.570747404607787,0.334242258317137,0.315476439704893,-0.104978938232087,-0.102733838779542,-0.823902446569312,-1.0330559080857,-9.31177124739978,-7.26710071536608,-0.542679931273828,1.33510522413191,-0.306367978841883,-0.14910865908567,-1.53810180945033,-1.27231509910073,-0.104575335105208,1.43971210041062,-0.438033698806039,0.068903851907448,-0.857883578697521,0.336146680861719,0.395642758353516,0.130735568432205,-1875.16024681852
-6.07177514434524,-2.73125385099038,-2.1700481412975,-0.989813591118079,-0.316855800339829,-0.0496716872713421,-0.71423132612738,-1.62199521200914,-5.87130594216515,-0.521612981925827,0.337622979122419,0.33868521440106,-0.107345322195223,-0.0970262912304216,-0.789665567613829,-1.04869702079341,-9.3576272056575,-7.53084849046377,-0.422648313541771,1.54424433263926,-0.303969026315314,-0.159799917123175,-1.48612861108712,-1.32946889389325,-0.132482785575688,1.0187619231761,-0.491858694325739,0.101142787821131,-0.727809923421504,0.18097662191665,0.152527623697248,0.141634857137063,-1874.33413380357
