"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_suv_b","delta_c","gamma_suv_c","logLike"
-4.8847691079166,-4.47313396280865,-1.96265301066375,0.605740763795745,-0.2447958773118,-0.0622576788787979,-0.75610428479371,-0.886658308280091,-5.54617941331633,-0.354152068484157,0.627007020532867,0.32843912821449,-0.165564389650077,-0.0837883254815243,-0.74869608721351,-0.911890636504671,-10.1372383641312,-6.04416465938058,0.0441844699931025,0.763615501098981,-0.457798336418414,-0.230215201872336,-0.665378869426537,-1.32821643618315,-0.395014241844534,0.00446330986093164,-2.18900220084867,0.470957973660223,-4364.7714432112
-4.88704729665725,-4.47340342807346,-1.95933240933071,0.607058815448781,-0.245605176983463,-0.0625374928819846,-0.754686794666992,-0.886860508063607,-5.55307574914997,-0.358425810857614,0.626725673888036,0.327624601670506,-0.166354619723418,-0.0838506298181709,-0.746575521170674,-0.914066146216517,-10.1729821607891,-6.11912687232196,0.0413684432542225,0.776879683503317,-0.45745443307641,-0.231673858731054,-0.670017083837068,-1.32731902064033,-0.393003435876043,0.00306105404286986,-2.20023511536943,0.469066104879344,-4364.75379365796
-4.89096704980639,-4.48219072807704,-1.9557597960353,0.611147384062085,-0.246125168348507,-0.0628227960605074,-0.75567832184006,-0.886550849337442,-5.55680422981417,-0.363132431038712,0.62775349099457,0.327770694598643,-0.166707176656535,-0.0838740243730486,-0.745793056150961,-0.915532000367809,-10.1915001482575,-6.15275592065111,0.0403566785177791,0.780373727721111,-0.457221687924645,-0.232973995659368,-0.668197879435258,-1.32505887480561,-0.392409623517342,-0.000176891252716538,-2.21169279626308,0.466627502207474,-4364.74497223653
-4.89320703517962,-4.48932682694931,-1.95491899440351,0.613645160600651,-0.246106689524833,-0.0628853540853348,-0.757267837058263,-0.886374116043564,-5.55598203769268,-0.364702690562939,0.628575120071454,0.328352043793173,-0.166544727311591,-0.0838663131262743,-0.746352349246492,-0.915593375237374,-10.1860736894658,-6.14128523188942,0.0408071484958714,0.776838934724977,-0.457158320608975,-0.233185043702859,-0.664407008413053,-1.32369808295119,-0.392829313141427,-0.00171295984783004,-2.21464961131929,0.466340993421685,-4364.74332471906
-4.89448742589423,-4.49375179133221,-1.95487225126243,0.614907333966375,-0.245998070367392,-0.0628749197971261,-0.758382989646836,-0.886370452806126,-5.55472812106794,-0.365308659995848,0.62898351205743,0.32882046484897,-0.166344286670934,-0.0838653908260878,-0.746987072402998,-0.915448588420918,-10.1790491359595,-6.1285768773709,0.0411404641606579,0.774066775517887,-0.457148527750626,-0.233119029478296,-0.661856207779918,-1.3230086829624,-0.393169232219491,-0.00226563056913953,-2.2152752312143,0.466976223085476,-4364.74295319125
-4.89479205450111,-4.49465507152322,-1.95501636391825,0.615033875041569,-0.245949374486285,-0.0628534281008915,-0.758617123909169,-0.886453707523115,-5.55433206443451,-0.365409470525468,0.628993985725531,0.328942922856302,-0.166283469600682,-0.0838729888371894,-0.747195625489431,-0.915416040320943,-10.1773288647807,-6.12569841836511,0.0410968929898977,0.773587511058538,-0.457159667940386,-0.233053236293952,-0.661454530651678,-1.32294296180168,-0.393189530731795,-0.00217624711413363,-2.21514537927038,0.467463958714888,-4364.74291828462
-4.89497071302848,-4.49503576958125,-1.95515298461767,0.615033398191603,-0.245925287586921,-0.0628372692404658,-0.758692940465676,-0.886537459167372,-5.55414066332839,-0.365485576424738,0.628968022687828,0.328998744250993,-0.166262859113304,-0.0838806736410474,-0.747288119405701,-0.915428345771635,-10.1769898435657,-6.12500790959199,0.0409841565687377,0.773502753376329,-0.457167103351717,-0.233018132136218,-0.661407746320844,-1.32296001491423,-0.393130577064287,-0.00206295266202415,-2.21502987790309,0.467771834834396,-4364.74290872075
-4.89504789629804,-4.49515951905555,-1.95523991945408,0.615015777217583,-0.245921081813815,-0.0628311339997156,-0.758695844800969,-0.886577109296708,-5.55406302943766,-0.365534152820883,0.62895391231944,0.32901382468815,-0.166264136475295,-0.0838844872234067,-0.747304952368862,-0.915448317934393,-10.1772251711258,-6.12516745605477,0.0408998229026319,0.773533624494446,-0.457168441713185,-0.233011113335253,-0.66145726415321,-1.32299077965303,-0.393067798980515,-0.00201089099215329,-2.21497509294282,0.467861451275495,-4364.7429062666
-4.89507688409884,-4.49521044217275,-1.95530748443372,0.615000004806682,-0.245923934046427,-0.0628293925987072,-0.758680797519142,-0.886588348932347,-5.55400506976607,-0.365566857142206,0.62895032826298,0.329017236845881,-0.166269966197992,-0.0838860165483039,-0.747299773595373,-0.915461860521138,-10.1775296874498,-6.12542318650433,0.0408446124273108,0.773567591161655,-0.457167008188876,-0.233012960291317,-0.66150552275281,-1.32301901896801,-0.393013647233864,-0.00199588478050632,-2.21493818277006,0.467860748230805,-4364.74290533772
-4.89507227653406,-4.49522480652594,-1.95535170641955,0.614989115871526,-0.245928475865057,-0.0628299715373182,-0.758665420782665,-0.88658000453709,-5.55395960622487,-0.365582912503603,0.628952602497103,0.329017069845471,-0.166274105391766,-0.0838859716585591,-0.747290538637377,-0.915465125404335,-10.1777136753804,-6.1255652147593,0.0408238521361919,0.773581427280276,-0.457164772071314,-0.23301656600136,-0.661527584853646,-1.32303592084825,-0.392980002332041,-0.00200366643340109,-2.21491386090845,0.46782470760489,-4364.74290499636
