Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69a0a132ed58f9bc124695d5,69939b823c7d1ff0d5eecbb3,APPROVED,Not Applicable,2026-02-26T19:38:39.244000Z,2026-02-26T19:53:12.066000Z,2026-03-01T15:48:58.479000Z,2026-02-26T19:53:12.404186Z,873.0,5219541219,55,English,Yes,49,Female,White,United States,United States,United States,English,No,Part-Time
69a0a18c7a1b6de0ac9bdafc,69602d86d5c83a79d9b816d1,APPROVED,Not Applicable,2026-02-26T19:40:01.197000Z,2026-02-26T19:55:44.134000Z,2026-03-01T15:48:58.777000Z,2026-02-26T19:55:44.479171Z,943.0,8225503453,598,English,Yes,61,Male,White,United States,United States,United States,English,No,Other
69a0a2089f624d6e4e99f79a,5d0fe014e5a551001a9e70eb,SCREENED OUT,Not Applicable,2026-02-26T19:42:04.699000Z,2026-02-26T19:42:43.973000Z,,2026-02-26T19:42:44.233344Z,40.0,C65JEJ1S,685,English,Yes,38,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a0a26eb175a2ff34747073,698e68dfd4d1e2fdc5d932e7,APPROVED,Not Applicable,2026-02-26T19:43:48.288000Z,2026-02-26T20:18:55.138000Z,2026-03-01T15:48:59.066000Z,2026-02-26T20:18:55.490150Z,2107.0,8235613817,75,"English, Pashto, Farsi",Yes,34,Male,White,Afghanistan,United States,Afghanistan,Farsi,No,Full-Time
69a0a3faac039631ca4d5321,6994e908006f32c4274d10ca,APPROVED,Not Applicable,2026-02-26T19:50:22.441000Z,2026-02-26T20:05:31.677000Z,2026-03-01T15:48:59.355000Z,2026-02-26T20:05:32.026038Z,910.0,9734166023,18,English,Yes,21,Female,Other,United States,United States,United States,English,Yes,Part-Time
69a0a3ff1a05f7b8b0cbdc76,6728dd0b14e9713e831a090c,SCREENED OUT,Not Applicable,2026-02-26T19:50:29.144000Z,2026-02-26T19:51:10.981000Z,,2026-02-26T19:51:11.222331Z,42.0,C65JEJ1S,503,English,Yes,58,Female,Mixed,India,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a0a477f78669d07ba91b05,6107940dd15a7e73888abc62,SCREENED OUT,Not Applicable,2026-02-26T19:52:26.953000Z,2026-02-26T19:52:58.459000Z,,2026-02-26T19:52:58.680588Z,32.0,C65JEJ1S,947,English,Yes,29,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69a0a4b1656a8901b2c66850,66aa59612e8897c5ab69032a,APPROVED,Not Applicable,2026-02-26T19:53:24.767000Z,2026-02-26T20:02:37.357000Z,2026-03-01T15:48:59.635000Z,2026-02-26T20:02:37.707779Z,553.0,3109715502,619,English,Yes,33,Female,White,United States,United States,United States,English,No,Other
69a0a4e687149f2ddc5bf581,69921bde43e69fd5d60ea256,APPROVED,Not Applicable,2026-02-26T19:54:17.551000Z,2026-02-26T20:03:09.337000Z,2026-03-01T15:48:59.922000Z,2026-02-26T20:03:09.688436Z,532.0,2254241035,426,English,Yes,34,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69a0a58a64f57fc023938e45,6950015633db665bd91254de,APPROVED,Not Applicable,2026-02-26T19:57:02.834000Z,2026-02-26T20:08:00.524000Z,2026-03-01T15:49:00.225000Z,2026-02-26T20:08:00.901654Z,658.0,3399650011,569,English,Yes,21,Female,White,United States,United States,United States,English,Yes,Part-Time
69a0a722a053d7dec1612104,67e2983d975f702d35a6495b,SCREENED OUT,Not Applicable,2026-02-26T20:03:50.772000Z,2026-02-26T20:04:36.164000Z,,2026-02-26T20:04:36.377031Z,46.0,C65JEJ1S,314,English,Yes,59,Female,White,United States,United States,United States,English,No,Full-Time
69a0a7af9f3cbf32a27c6b5b,655ffddf6682f3df8008b8f9,APPROVED,Not Applicable,2026-02-26T20:06:18.439000Z,2026-02-26T20:17:33.263000Z,2026-03-01T15:49:00.567000Z,2026-02-26T20:17:33.629228Z,675.0,2544041828,367,English,Yes,29,Female,Black,United States,United States,United States,English,No,Full-Time
69a0a7cb0a15069fb6da3a0e,694efe9554b50ca307f0b11c,SCREENED OUT,Not Applicable,2026-02-26T20:06:40.199000Z,2026-02-26T20:07:21.683000Z,,2026-02-26T20:07:21.905126Z,42.0,C65JEJ1S,260,English,Yes,25,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69a0a890dc0aea604789e9ab,697d03f1dcffd23de8dd8193,APPROVED,Not Applicable,2026-02-26T20:09:58.405000Z,2026-02-26T20:20:38.358000Z,2026-03-01T15:49:00.919000Z,2026-02-26T20:20:38.690891Z,640.0,6070057934,207,English,Yes,34,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69a0a8a94e180cee6c1d91cf,6999095a80aac1799fe897e8,APPROVED,Not Applicable,2026-02-26T20:10:21.408000Z,2026-02-26T20:22:30.979000Z,2026-03-01T15:49:01.247000Z,2026-02-26T20:22:31.345630Z,730.0,3615424377,55,English,Yes,44,Male,White,United States,United States,United States,English,No,Full-Time
69a0aa63b1e457337c2f8f3a,699e009b0b32a8fac8a1e39d,SCREENED OUT,Not Applicable,2026-02-26T20:17:44.656000Z,2026-02-26T20:18:21.710000Z,,2026-02-26T20:18:21.940554Z,38.0,C65JEJ1S,12,English,Yes,25,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69a0aa82bc38582f31078ffe,6108b317855b3eb7cd588352,SCREENED OUT,Not Applicable,2026-02-26T20:18:14.364000Z,2026-02-26T20:19:35.298000Z,,2026-02-26T20:19:35.523783Z,81.0,C65JEJ1S,955,English,Yes,29,Female,White,United States,United States,United States,English,No,Full-Time
69a0aaad05adb9302f77e225,66573564f424374e6d1b36bc,SCREENED OUT,Not Applicable,2026-02-26T20:18:56.453000Z,2026-02-26T20:19:34.442000Z,,2026-02-26T20:19:34.668877Z,38.0,C65JEJ1S,920,English,Yes,50,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a0aab380b5a37d2b18506f,6995fc8a114d1425118da8cc,APPROVED,Not Applicable,2026-02-26T20:19:04.827000Z,2026-02-26T20:28:20.671000Z,2026-03-01T15:49:01.541000Z,2026-02-26T20:28:21.024877Z,556.0,8922968934,81,English,Yes,24,Female,Black,United States,United States,United States,English,No,Part-Time
69a0ab0db954c78e24621627,6981fec55c5a0edbac5b4c6c,SCREENED OUT,Not Applicable,2026-02-26T20:23:17.229000Z,2026-02-26T20:24:17.342000Z,,2026-02-26T20:24:17.562490Z,61.0,C65JEJ1S,91,English,Yes,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
