date,description,participant_id,study,reward,fee
2026-02-26,SCREENED OUT,662a755d1c07940a37c22f1a,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,65e11ac8cd47e9569ee092e8,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6999e9056ea6c5d552098942,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,5c52966eac3bca0001d21d12,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,695fbe3f0bb4f29acd231b44,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6932f8200cc88ea0570aabba,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6996589ef8807b43043aef11,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69973b119fe05d621f36926f,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698e9c08b8a6a399728ef759,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6705977e4d70a709a02b2b4f,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6993d6f98cc60df9206900f9,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6961a17a0ca93484679103a2,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,694d98face021af3555a235e,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699f134d7a5cda410bd5e6bb,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6999f8caea202fe37be73452,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699e8160c4250d05bbdb63ed,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6994bce40cbb4bdfcee81cae,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6999e30f8bca89eec3cb088f,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6980f99cd9750124fc1a8d9b,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,697a5d5b10537642caf820dc,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699a6d5f9b1641091675e3e5,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,699a2189c3a62af43ad41469,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6675b6ca5c9eb57d59e9a1fe,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,698f4fd2efcced611669b5e7,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,667dbba5ea2c0249c5f75e8f,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699303e5df3dd666f01b6fd7,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,69698037e442102b583983c0,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69977c3294c33ffb8f422249,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69603aea665cde96c5571102,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,69993f6ef684d54502066142,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,66cd3b6530dcf9fa284cefcd,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698e2396c7a2cdb9a739dcfe,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6994d3dfb66ea81eb20b1799,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6982be56cf9bf83a577d9e3e,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,695fdf5b78ef5b3f0cc4d499,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699766d10d9d7702a45b29d0,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,695fc71f6c3e211274612a66,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6992a19454a45d78b75baba5,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,695c6b4f435bc06369113b97,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,67a5c89e37476046227e6616,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,699b7858b17a77f0f5123020,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,695fc096dde82b7c93dca969,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,696001215742076b5a4b539f,69972f6c3f130386dee62c91,0.14,0.05
