"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","logLike"
-5.5932868388987,-1.87256547175403,-1.49592179369855,-0.787028383144032,0.00628149311739828,-0.190796052759892,-0.134083041380569,-0.0384583938356879,-0.218304294604538,-0.73785259351511,-25.2450866257526,-104192.531611387,-12.168240891671,-0.297388558357041,53313.4491949669,1.65223175696946,-2.30156423974784,-0.970990135999023,-0.826022711781076,-0.19506165557155,-6.17340548401511,0.737707432040958,-1.53205368100171,0.894167454034479,-3092.01050821498
-5.66018083991008,-2.14984987993806,-1.460499668997,-0.757681872930902,0.184242069567313,-0.12854139205986,-0.216224201125757,-0.112522927604508,-0.104312264945625,-0.75561769519021,-27.0256603219233,-104192.531611386,-25.1288114202733,-3.67132726693264,53313.4491949671,2.70352139283947,-1.26462301955788,-1.27929189515832,-0.540831024999039,0.0619780174926485,-16.2819577406985,0.792516782439289,-4.41969581840334,3.6301130902891,-2727.94050836284
-4.88885241912145,-1.94531340503385,-1.26764355427377,-0.54203857832591,0.205085708198315,-0.10688458311914,-0.18939478100372,-0.106145275401133,-0.0765083337824503,-0.673603125718291,-488.991423204932,-104192.531611386,-7118.01547494698,-68.8845811297264,53313.4491949671,1619.29232958296,-223.337726954124,78.3212107253415,-31.2871765957826,12.9228598682031,-44.0340174177609,1.57568204411141,-10.1284569170889,10.5946625087373,-2646.29697267935
-4.40394217070563,-1.80444566454036,-1.23434831975982,-0.42228186599437,0.186996523539356,-0.0664620053901013,-0.177968238500182,-0.100742651189243,-0.0588187506820095,-0.592048481744427,-488.991423204932,-104192.531611386,-7118.01547494698,-68.8845811297264,53313.4491949671,1619.29232958296,-223.337726954124,78.3212107253415,-31.2871765957826,12.9228598682031,-44.1748004012746,2.35758055992103,-9.75952251331015,8.98132837239868,-2592.33513331859
-3.5560266357472,-1.58683638935541,-1.15912803354157,-0.223374169126199,0.177836448773871,-0.00404527828588565,-0.160592027271715,-0.0992528243675331,-0.0288282128715057,-0.41289058709944,-488.9897622616,-104192.531611386,-7118.1855077769,-68.8874724488612,53313.4491949671,1619.22064375853,-223.338325862572,78.3176667472605,-31.2872686597112,12.9227498016496,-45.5219261006565,1.04958990747835,-10.2192454971873,10.2654252489707,-2535.07838180707
-3.5486870484174,-1.53935470676415,-1.19364826592196,-0.209182450778973,0.155684932074437,0.00990455765182203,-0.172966542367287,-0.106582816907443,-0.0335019774969505,-0.319607351063116,-489.020821852844,-104192.531611386,-7093.12160190322,-68.8339878186761,53313.4491949671,1629.57216348915,-223.323338128543,78.3529501488221,-31.2866606860475,12.9258144652212,-39.1826261111171,-0.17380329351201,-4.22057545833958,13.1487664134506,-2523.47948734558
-3.47025085039964,-1.5275416228234,-1.09605359903374,-0.18577815834937,0.170584713067063,-0.0100027745562591,-0.174072815066459,-0.111058116290454,-0.0361679985511981,-0.263586367575615,-489.02614371793,-104192.531611386,-7085.72698848002,-68.8247614286716,53313.4491949671,1632.6354300162,-223.320420769004,78.3320635268612,-31.2866350218056,12.9274096751028,-48.3874514081728,2.56613797281139,-12.8542304709696,6.00809912208827,-2522.22279409758
-3.51784498489144,-1.52852812823203,-1.08038582440691,-0.196138825268834,0.172243119691754,-0.0151860678254584,-0.175693376262167,-0.110486880583471,-0.0392790880823264,-0.275023153444998,-489.026106696611,-104192.531611386,-7088.03850921963,-68.8248260842979,53313.4491949671,1631.67570604927,-223.320865083434,78.332055581007,-31.2865069849489,12.9274341098336,-47.3479464403639,1.97994324316737,-12.810682048981,5.687350174796,-2521.63660717996
-3.50860473398983,-1.50937760270671,-1.06404291737368,-0.197901964437161,0.168200856421445,-0.0173462021618586,-0.175485910318758,-0.109251775222483,-0.0401773241534332,-0.274577165722849,-488.899167435542,-104192.531611386,-7087.99210105438,-69.039901954371,53313.4491949671,1631.95586367431,-223.361742669673,78.3778386843212,-31.2955960870687,12.9055317964825,-46.1690542639583,1.636131163988,-11.77221708412,6.35268255744643,-2521.53463973255
-3.50059715071054,-1.49868405721852,-1.06096362187945,-0.196622668420347,0.166228404459581,-0.0162132858767523,-0.175287085832921,-0.108774769238519,-0.0400763819486303,-0.274974512815537,-488.899237293227,-104192.531611386,-7088.58417737869,-69.0397812827255,53313.4491949671,1631.71014024763,-223.361828008002,78.3781325685556,-31.2955588484759,12.905538269015,-45.7795777673469,1.48737110629345,-11.7312571127815,6.23506529349057,-2521.52130252952
-3.49558165401498,-1.49360580387144,-1.05718506298182,-0.19491477768066,0.16574793045312,-0.0163649712906486,-0.175134060090637,-0.10867894881243,-0.0398828724904514,-0.274790105173893,-488.899650212003,-104192.531611386,-7089.11486087048,-69.0390652114336,53313.4491949671,1631.489853065,-223.361781258661,78.3793111410742,-31.2955050409419,12.9055604288666,-44.9942828547525,1.28404113684024,-11.8397077064577,5.77444586871479,-2521.51592946257
-3.49683557113018,-1.49416092899144,-1.0578333810482,-0.194093052001241,0.166076702785198,-0.0160863878319034,-0.175206712519382,-0.10879632673302,-0.0398343749058469,-0.27509129111675,-488.899650212003,-104192.531611386,-7089.11486087048,-69.0390652114336,53313.4491949671,1631.489853065,-223.361781258661,78.3793111410742,-31.2955050409419,12.9055604288666,-45.6622977131964,1.18894865161613,-10.8067663967305,4.5854376608472,-2521.50205589543
