"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
-4.62302109718375,-9.03994109454491,-3.41223421782873,-1.34017761491839,2.42068559330457,0.0689862764032825,-0.272146448216444,-0.142469730168717,-0.0433189940475855,-0.489206963597366,-5.30957089994366,-0.383401956135304,0.0787749921789711,0.595943082460521,0.135815811888587,-0.0517360083728823,-0.142686287450216,-0.108989604354786,-0.0484825460206322,-0.490029905784474,-2.89948410406684,10.5942984149074,-3.66650895042391,-15.8360636844447,6.66834775039033,0.319395665951127,-1.94893344832832,-0.741510546098828,0.632566614032844,-0.259772887678075,0.253217669151531,-4.68082127539205,-2245.61115799813
-4.62807619471156,-9.15034571133345,-3.45631122245663,-1.36957947057182,2.46267283973794,0.0777907417787661,-0.276535714456408,-0.143096472031428,-0.043450929880215,-0.486548761529038,-5.35078039459999,-0.425953541751939,0.0778574153021012,0.597250713254569,0.134844911020686,-0.0495430870701041,-0.142627223691055,-0.110912896059267,-0.04518578370795,-0.506188109032679,-13.7742897448666,12.8288799438086,-2.75706888889097,-28.0759502151438,6.94813965687942,-0.921451816446493,-4.54673951469405,-1.49998867017515,0.366338387723254,0.958345445008195,0.266048293347644,-3.85881333216482,-2245.39276847951
-4.62674257544734,-9.15587576374065,-3.45360577919294,-1.37690990452753,2.46135031358666,0.0766547119226377,-0.277355135976024,-0.143492146460883,-0.0434562707491887,-0.486025943774067,-5.34735335403804,-0.416627798114897,0.0615103584976406,0.59556458175661,0.135091720702887,-0.0539227741534277,-0.140594472495418,-0.110360791309808,-0.0468429200925885,-0.507778159535667,-14.3257193436702,19.6163073718498,-2.80016758051683,-29.2250497408014,5.19805669754899,-1.87807826505945,-4.33251389899096,-1.48087425491214,0.300037482122858,-0.300263711551289,0.277528527049142,-4.13523997513006,-2244.0095804235
-4.62678315035236,-9.15691741403956,-3.4526592319304,-1.3776704793058,2.46130721237585,0.0767902380252315,-0.277454536603015,-0.143524225902287,-0.0434397570320762,-0.485876669155551,-5.34782568255617,-0.416886276908219,0.0609149916483416,0.594556088400165,0.134987850469576,-0.0538582801586127,-0.140689191040286,-0.11013208034719,-0.0469374571950255,-0.507495852234921,-14.5113980255773,19.7996025312812,-2.5502854141771,-29.2250497440465,4.22038682040128,-1.68607048480843,-4.27364948095386,-1.46544902711736,0.323662608806838,-0.23982007616852,0.276812443455408,-4.05725489222394,-2243.15301433214
-4.62677671029584,-9.15711476391172,-3.4525093402472,-1.37781828033139,2.46129325260164,0.0768106828672216,-0.27747546681637,-0.14353252842307,-0.0434377081868722,-0.485853378246557,-5.34801550454405,-0.417000697235303,0.0609052789908475,0.594391652189324,0.134935851005365,-0.0538146026660771,-0.140698260028787,-0.110093211337718,-0.0469448621210155,-0.507434721791609,-14.5807535615304,19.8681159585062,-2.46940879063501,-29.2250497490464,3.890015577366,-1.62264452157169,-4.25111159433672,-1.45645058474005,0.331251645613497,-0.210010810586576,0.276394850709834,-4.0319567064742,-2242.7843303898
-4.62692235830275,-9.15808928606245,-3.45133699556146,-1.37820286797369,2.46121564597927,0.0770671933893922,-0.277529332276446,-0.14354506540546,-0.0434178541896269,-0.485716059178183,-5.34926572287327,-0.417047153655097,0.061327950166871,0.593237234400129,0.134941688006817,-0.0534696516583725,-0.140786787419519,-0.109840177948875,-0.0470081844064617,-0.50697612883501,-15.1044103175283,20.0228889679698,-1.90045121712275,-30.2512362974924,1.84793483499986,-1.10136934254533,-4.0086566722329,-1.37949371056937,0.391283454629879,0.17117725617219,0.273339857867447,-3.87467976139076,-2240.2114764515
-4.62692739882664,-9.15813549953012,-3.45128883421518,-1.37826857652648,2.46125481195833,0.0770541849333757,-0.27754388685716,-0.143550879819603,-0.0434156790113695,-0.485693040970901,-5.34951434310418,-0.41733685555367,0.0614223443154121,0.593209417281727,0.134792767792947,-0.0533987742494005,-0.140791803339142,-0.109829158373992,-0.0469937112403961,-0.506935535588495,-15.1750138393665,20.1177594004053,-1.82516224838054,-30.2564907692734,1.93542220455692,-1.07763092762911,-3.97037943553121,-1.36896129727309,0.396818416156254,0.190355337800648,0.273105560665236,-3.85831820202723,-2240.16243131259
-4.62696546002068,-9.1585240668026,-3.45095929894838,-1.37869037421982,2.46149617049486,0.0769734266368914,-0.277642030376332,-0.143588457650174,-0.0434009879801032,-0.485546185585335,-5.35068233979205,-0.418744131466811,0.0615894112614922,0.592726036266253,0.134158198551778,-0.0530624020091611,-0.140906313445149,-0.109761524088112,-0.0469228939960306,-0.506783700135432,-15.4924648313015,20.6344940146098,-1.47039757576615,-30.4933077039236,1.72089322297342,-1.52298466399829,-3.76086072487503,-1.37583101958741,0.411613146959747,-0.302914755489421,0.272742433802334,-3.78227870504454,-2239.97651598635
-4.62747904957341,-9.16289333174025,-3.44916782131311,-1.37952269234915,2.46361014089192,0.0759211922429427,-0.278261758292908,-0.143802987208,-0.0433032733650798,-0.484891618712926,-5.35554757901046,-0.423213862118863,0.058322807643725,0.590282299875271,0.132965051135336,-0.052026282902091,-0.141390790737195,-0.109653840905598,-0.046862693024957,-0.506760325579878,-15.6668902019518,23.7307525572135,-1.21124014427043,-28.3246906894389,1.16131747526416,-1.45674134100385,-3.64833215176905,-1.40040855445679,0.41565966412137,-0.893737171211998,0.275747186624848,-3.63202309161796,-2239.83215495274
-4.62879384208468,-9.17867380565227,-3.44716317284244,-1.38047842923811,2.47020501676629,0.0746832843085875,-0.279203777585478,-0.144030602154653,-0.0431777214390345,-0.484285769453032,-5.36306009489484,-0.426940304849467,0.0514481418297511,0.587888514930174,0.132676158383901,-0.0508262449690387,-0.141393146431406,-0.109715396804236,-0.0470474145130767,-0.507705296062807,-16.3395763455793,21.745990540058,-0.624227063241301,-17.3233851317552,2.59881792397394,-1.45522350387934,-3.3382833324912,-1.44182730314483,0.502790020728366,-2.69068431826733,0.279387218721073,-3.59722609718361,-2239.73800898873
