"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","delta_c","logLike"
-3.04683712655979,-1.63275588773271,-1.40069378094287,-0.548048904437931,-0.241189800153119,-0.199531111707281,0.0197809721403416,-0.234136080466144,-98.4123295945235,-15592.3665529453,545.73355794737,1969.10074436371,165.09180532771,184.816440797522,574.983925649574,276.05112727787,-3.04823098660233,0.28712016414916,0.208225410945922,0.59714452205701,-0.110172007584389,0.00021780903515678,-0.163160560716436,0.236538508089492,-24.7793157531334,-1.42723103759461,-2424.42962259544
-3.49978185353863,-2.13968572134256,-1.75202332574936,-0.70718519419984,-0.242256821771688,-0.180518815057983,0.00927609702846099,-0.304313578320926,-98.4123295945235,-15592.3665529453,545.73355794737,1969.10074436371,165.09180532771,184.816440797522,574.983925649574,276.05112727787,-3.73101585353658,0.351020620792387,0.253571055642088,0.769160276067917,-0.129009095115475,-0.0476670558783983,-0.1180763280675,-0.0223923087616965,-24.7286967176291,-0.824274102590098,-2349.15453430813
-3.81416257868516,-2.71329650443819,-2.18846053283002,-0.863255486105378,-0.225534650298154,-0.164046527713827,-0.00184011398188883,-0.38915144532659,-98.4123295945235,-15592.3665529453,545.73355794737,1969.10074436371,165.09180532771,184.816440797522,574.983925649574,276.05112727787,-4.53446052487775,0.177879399087148,0.17379897048377,0.67949977043801,-0.153334523343664,-0.0826431569042739,-0.0848795363704584,-0.270869089198076,-24.6898642595897,-0.208599965945867,-2296.71753477459
-3.8072239524646,-2.82284677177688,-2.32834418149196,-0.859616155812391,-0.226383302255683,-0.162380395405192,-0.00271822393471662,-0.396144090934623,-98.4112253099837,-15592.3665529453,545.733470821647,1969.10074436317,165.089283035945,184.813657393272,574.973902115711,276.046394380709,-4.69199314792722,0.154930643142087,0.18809698706899,0.695265485470252,-0.145573983780355,-0.0849496149879203,-0.0765299973779894,-0.26287497944113,-24.5965594524146,-0.148573901584849,-2286.02040423716
-4.15855659100122,-3.34711003672474,-2.81412255821069,-0.984317336916594,-0.230914489926969,-0.139904930035078,-0.0208874689100882,-0.481045842882226,-98.4112253099837,-15592.3665529453,545.733470821647,1969.10074436317,165.089283035945,184.813657393272,574.973902115711,276.046394380709,-5.22655854638657,0.0828396623547846,0.139521074603393,0.650078510606962,-0.158039420020374,-0.102780318546805,-0.0633855163040844,-0.41163260798413,-24.5677528680147,0.138035884892309,-2267.79018421313
-4.32562828211051,-3.61253120464864,-2.98641369796964,-1.07445194431219,-0.230002058853619,-0.135598497535072,-0.0315036255010268,-0.501672446436128,-98.4112253099837,-15592.3665529453,545.733470821647,1969.10074436317,165.089283035945,184.813657393272,574.973902115711,276.046394380709,-5.40243973732989,0.0570395145753038,0.112615807463728,0.648376752223231,-0.156278132495671,-0.106925115154191,-0.0563324505341277,-0.455534408795559,-24.5386672586871,0.0994443562875351,-2263.96709517153
-4.41137703711708,-3.74386686178714,-3.05793399075745,-1.13330815700717,-0.235463156371775,-0.135828258058087,-0.0357502845453196,-0.505335207895828,-98.4112253099837,-15592.3665529453,545.733470821647,1969.10074436317,165.089283035945,184.813657393272,574.973902115711,276.046394380709,-5.48087695390341,0.01833783870728,0.0757088216931964,0.638336983034797,-0.156206733017122,-0.108175271079826,-0.0542300149797311,-0.47799230103757,-24.5102617694271,0.122637961127123,-2262.91116427464
-4.44603340228877,-3.81812423169106,-3.08994029276051,-1.17196855616617,-0.240892500094124,-0.136973233843333,-0.0370822150545022,-0.503588948281025,-98.4112253099837,-15592.3665529453,545.733470821647,1969.10074436317,165.089283035945,184.813657393272,574.973902115711,276.046394380709,-5.49848794727411,-0.0116984390245486,0.0457481995458214,0.629779640135094,-0.154287277159779,-0.108323339614777,-0.0531246476842337,-0.487690806916175,-24.4834885771416,0.147022633244305,-2262.39122577005
-4.43788238179757,-3.92373655331011,-3.11118364849393,-1.19963701193621,-0.244928946752619,-0.136846774366578,-0.0381856998893875,-0.503180944102462,-124.865183022233,-15592.362970267,545.730049149763,1969.09683790315,211.042920294214,208.574040340528,705.872102872531,315.936054794019,-5.48995224622887,-0.0381948094807469,0.0279735639120885,0.648513646626014,-0.151225201110072,-0.112843984625174,-0.0501296177847107,-0.484391078452514,-42.4655572913352,0.110811795918784,-2262.25628451607
-4.44566078842027,-3.87217596972544,-3.10264998842405,-1.20345730353012,-0.243909514421321,-0.136539592332663,-0.0376325326131278,-0.499505334013101,-125.053199565331,-15592.362970267,545.730049150188,1969.09683790336,211.472368105201,209.047945413219,707.578719345559,316.741882396395,-5.48015155676838,-0.0276540793357502,0.0261622122003036,0.628587473173681,-0.153048308510898,-0.108984399419404,-0.0518366878256089,-0.491099994729029,-42.5589405694037,0.168534177324111,-2262.07845112695
