session_id,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
b90aec86fdde33f29f0131330639a5d3,39,2,1773,3,230,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,35000,49500,cellreplace,320,0.04,0,100%,88%,72%,285,230,Refurbished Cell-Replaced
b90aec86fdde33f29f0131330639a5d3,39,2,0,4,230,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
b90aec86fdde33f29f0131330639a5d3,39,3,1534,1,231,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,40000,60500.00000000001,packreplace,200,0.04,0,100%,88%,72%,175,145,Refurbished Pack-Replaced
b90aec86fdde33f29f0131330639a5d3,39,3,1427,2,231,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,25000,55000,packreplace,360,0.03,0,100%,91%,78%,330,280,Refurbished Pack-Replaced
b90aec86fdde33f29f0131330639a5d3,39,3,2024,3,231,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,50000,44000,original,240,0.05,0,100%,86%,66%,205,160,Original Battery
b90aec86fdde33f29f0131330639a5d3,39,3,0,4,231,1,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
b90aec86fdde33f29f0131330639a5d3,39,4,2918,1,232,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,40000,44000,cellreplace,200,0.07,0,100%,80%,56%,160,110,Refurbished Cell-Replaced
b90aec86fdde33f29f0131330639a5d3,39,4,3339,2,232,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,25000,49500,packreplace,360,0.07,0,100%,80%,56%,290,200,Refurbished Pack-Replaced
b90aec86fdde33f29f0131330639a5d3,39,4,840,3,232,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,50000,44000,packreplace,320,0.02,0,100%,94%,85%,300,270,Refurbished Pack-Replaced
b90aec86fdde33f29f0131330639a5d3,39,4,0,4,232,1,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
b90aec86fdde33f29f0131330639a5d3,39,5,769,1,233,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,15000,44000,original,320,0.02,0,100%,94%,85%,300,270,Original Battery
b90aec86fdde33f29f0131330639a5d3,39,5,364,2,233,1,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,30000,49500,packreplace,320,0.01,0,100%,97%,92%,310,295,Refurbished Pack-Replaced
b90aec86fdde33f29f0131330639a5d3,39,5,216,3,233,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,50000,55000,original,280,0.01,0,100%,97%,92%,270,260,Original Battery
b90aec86fdde33f29f0131330639a5d3,39,5,0,4,233,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
b90aec86fdde33f29f0131330639a5d3,39,6,2833,1,234,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,15000,55000,cellreplace,360,0.06,0,100%,83%,61%,300,220,Refurbished Cell-Replaced
b90aec86fdde33f29f0131330639a5d3,39,6,1222,2,234,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,40000,44000,packreplace,280,0.03,0,100%,91%,78%,255,220,Refurbished Pack-Replaced
b90aec86fdde33f29f0131330639a5d3,39,6,1650,3,234,0,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,20000,55000,original,280,0.04,0,100%,88%,72%,250,200,Original Battery
b90aec86fdde33f29f0131330639a5d3,39,6,0,4,234,1,2025-10-14T22:08:12Z,24.15,1.3666666666666667,55000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
3d6c7d5966fa119a53057242f4a4284a,40,1,1083,1,235,1,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,25000,22000,original,240,0.03,0,100%,91%,78%,220,190,Original Battery
3d6c7d5966fa119a53057242f4a4284a,40,1,2665,2,235,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,15000,18000,packreplace,280,0.06,0,100%,83%,61%,235,170,Refurbished Pack-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,1,3296,3,235,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,50000,22000,original,360,0.07,0,100%,80%,56%,290,200,Original Battery
3d6c7d5966fa119a53057242f4a4284a,40,1,0,4,235,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
3d6c7d5966fa119a53057242f4a4284a,40,2,980,1,236,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,30000,20000,original,200,0.03,0,100%,91%,78%,185,155,Original Battery
3d6c7d5966fa119a53057242f4a4284a,40,2,228,2,236,1,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,30000,16000,cellreplace,280,0.01,0,100%,97%,92%,270,260,Refurbished Cell-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,2,2006,3,236,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,40000,20000,packreplace,200,0.05,0,100%,86%,66%,170,135,Refurbished Pack-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,2,0,4,236,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
